time,x-axis,y-axis,z-axis,Event1,Event2,latitude,longitude

35.971,-0.65,4.44,8.15,0,0,0,0

36.001,-0.69,4.48,8.5,0,0,0,0

36.032,-1.03,4.48,8.88,0,0,0,0

36.062,-0.92,4.36,8.77,0,0,0,0

36.093,-0.8,4.33,8.65,0,0,0,0

36.123,-0.77,4.36,8.5,0,0,0,0

36.154,-0.8,4.36,8.42,0,0,0,0

36.184,-0.84,4.33,8.35,0,0,0,0

36.214,-0.8,4.33,8.31,0,0,0,0

36.245,-0.77,4.36,8.35,0,0,0,0

36.293,-0.8,4.36,8.5,0,0,0,0

36.324,-0.8,4.36,8.5,0,0,0,0

36.354,-0.8,4.4,8.5,0,0,0,0

36.385,-0.92,4.4,8.5,0,0,0,0

36.415,-0.96,4.4,8.5,0,0,0,0

36.446,-0.96,4.48,8.42,0,0,0,0

36.476,-0.96,4.48,8.38,0,0,0,0

36.507,-1,4.44,8.42,0,0,0,0

36.537,-1,4.4,8.38,0,0,0,0

36.568,-0.92,4.48,8.31,0,0,0,0

36.598,-0.92,4.48,8.46,0,0,0,0

36.629,-1,4.4,8.73,0,0,0,0

36.659,-0.88,4.44,8.61,0,0,0,0

36.69,-0.96,4.52,8.42,0,0,0,0

36.72,-0.84,4.59,8.31,0,0,0,0

36.751,-0.77,4.52,8.35,0,0,0,0

36.781,-1.03,4.52,8.27,0,0,0,0

36.812,-1.15,4.56,8.15,0,0,0,0

36.842,-1.07,4.56,8.19,0,0,0,0

36.872,-1.07,4.36,8.35,0,0,0,0

36.903,-0.84,4.13,8.84,0,0,0,0

36.933,-0.8,3.98,8.8,0,0,0,0

36.964,-1.3,3.79,8.84,0,0,0,0

36.994,-1.34,3.75,8.88,0,0,0,0

37.025,-0.92,3.68,8.65,0,0,0,0

37.055,-0.8,3.64,8.77,0,0,0,0

37.086,-0.8,3.52,9,0,0,0,0

37.116,-0.8,3.6,8.65,0,0,0,0

37.147,-0.57,3.52,8.61,0,0,0,0

37.177,-0.31,3.33,8.73,0,0,0,0

