time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata

47.07,0.22,2.41,8.99,0,0,unable to access data

47.102,-0.76,2.52,10,0,0,unable to access data

47.133,-1.44,2.79,10.07,0,0,unable to access data

47.165,-0.76,2.25,9.3,0,0,unable to access data

47.196,-0.68,2.25,9.38,0,0,unable to access data

47.228,-0.53,2.06,9.58,0,0,unable to access data

47.26,-0.49,2.25,9.15,0,0,unable to access data

47.301,-0.57,2.6,9.15,0,0,unable to access data

47.333,-0.53,2.67,9.64,0,0,unable to access data

47.365,-0.38,2.45,9.45,0,0,unable to access data

47.396,-0.49,2.52,9.22,0,0,unable to access data

47.428,-0.34,2.75,9.45,0,0,unable to access data

47.459,-0.26,2.41,10.15,0,0,unable to access data

47.491,-0.11,1.91,9.77,0,0,unable to access data

47.523,-0.11,2.52,8.99,0,0,unable to access data

47.554,-0.22,2.52,9.07,0,0,unable to access data

47.586,-0.15,2.14,9.64,0,0,unable to access data

47.618,0,1.33,10.19,0,0,unable to access data

47.649,-0.15,1.48,9.83,0,0,unable to access data

47.681,-0.34,2.33,9.38,0,0,unable to access data

47.713,-0.15,1.91,9.19,0,0,unable to access data

47.744,-0.15,1.8,9.72,0,0,unable to access data

47.777,-0.03,1.84,9.92,0,0,unable to access data

47.81,0.26,1.61,9.41,0,0,unable to access data

47.848,0.07,2.03,8.92,0,0,unable to access data

47.882,0.11,1.99,9.11,0,0,unable to access data

47.916,-0.3,1.29,9.53,0,0,unable to access data

47.947,-0.68,1.68,9.41,0,0,unable to access data

47.979,0.11,1.33,9.96,0,0,unable to access data

48.01,0.3,0.64,10.99,0,0,unable to access data

48.042,-0.15,0.57,11.56,0,0,unable to access data

48.074,-0.34,0.64,11.25,0,0,unable to access data

48.106,-0.15,0.95,9.92,0,0,unable to access data

48.138,-0.22,1.53,8.5,0,0,unable to access data

48.169,-0.11,1.8,8.5,0,0,unable to access data

48.201,-0.15,1.8,8.61,0,0,unable to access data

48.233,-0.19,1.99,8.58,0,0,unable to access data

48.264,0.26,2.22,8.04,0,0,unable to access data

48.296,0.3,2.56,8.65,0,0,unable to access data

48.328,-0.53,3.17,9.87,0,0,unable to access data

48.359,-0.11,2.6,10.38,0,0,unable to access data

48.391,0.61,1.91,10.76,0,0,unable to access data

48.423,0.53,1.53,10.76,0,0,unable to access data

48.454,0.26,1.25,10.15,0,0,unable to access data

48.486,0,1.1,9.53,0,0,unable to access data

48.517,-0.26,1.68,9.3,0,0,unable to access data

48.549,-0.68,1.95,8.88,0,0,unable to access data

48.581,-0.76,2.83,8,0,0,unable to access data

48.613,-0.19,3.32,8.16,0,0,unable to access data

48.644,0.22,2.94,8.88,0,0,unable to access data

48.676,0.57,2.45,9.07,0,0,unable to access data

48.707,0.76,1.99,8.58,0,0,unable to access data

48.739,0.68,2.06,8.19,0,0,unable to access data

48.771,0.72,1.06,9.26,0,0,unable to access data

48.802,1.1,0.19,10.87,0,0,unable to access data

48.834,1.25,-0.07,10.38,0,0,unable to access data

48.866,0.64,1.42,10.26,0,0,unable to access data

48.897,0.61,1.72,10.53,0,0,unable to access data

48.929,1.02,1.68,9.38,0,0,unable to access data

48.961,0.8,2.03,8.99,0,0,unable to access data

48.994,0.53,1.57,10,0,0,unable to access data

49.031,0.41,1.02,11.1,0,0,unable to access data

49.069,0.45,2.29,10.42,0,0,unable to access data

49.107,0.49,2.56,10.38,0,0,unable to access data

49.138,0.72,1.72,10.61,0,0,unable to access data

49.17,0.87,1.68,9.38,0,0,unable to access data

49.202,0.8,1.8,8.73,0,0,unable to access data

49.233,1.33,1.72,8.54,0,0,unable to access data

49.265,2.14,1.72,8.73,0,0,unable to access data

49.296,2.37,1.63,9.92,0,0,unable to access data

49.328,2.18,1.95,9.92,0,0,unable to access data

49.36,1.76,1.44,9.72,0,0,unable to access data

49.391,2.18,1.18,10.11,0,0,unable to access data

49.423,2.48,0.49,10,0,0,unable to access data

49.455,1.99,0.57,9.49,0,0,unable to access data

49.486,1.8,0.91,8.88,0,0,unable to access data

49.518,1.87,0.76,8.8,0,0,unable to access data

49.549,2.22,0.8,9.19,0,0,unable to access data

49.581,2.41,0.99,8.96,0,0,unable to access data

49.613,1.84,1.99,9.34,0,0,unable to access data

49.645,1.14,1.87,9.87,0,0,unable to access data

49.676,1.91,0.72,10.15,0,0,unable to access data

49.708,2.29,0,10.95,0,0,unable to access data

49.739,2.18,0.83,10.45,0,0,unable to access data

49.771,2.03,0.57,10.26,0,0,unable to access data

49.803,1.76,0.34,10.64,0,0,unable to access data

49.834,1.87,0.11,10.42,0,0,unable to access data

49.866,1.8,0.34,9.68,0,0,unable to access data

49.897,1.23,0.34,8.88,0,0,unable to access data

49.929,0.76,0.38,8.84,0,0,unable to access data

49.961,0.76,0.3,10.8,0,0,unable to access data

49.993,1.76,-0.8,10.53,0,0,unable to access data

50.024,1.95,-0.22,10.3,0,0,unable to access data

50.058,1.44,0.53,10.3,0,0,unable to access data

50.09,0.64,0.34,9.26,0,0,unable to access data

50.128,0.83,1.38,8.61,0,0,unable to access data

50.16,1.44,0.99,9.11,0,0,unable to access data

50.198,1.63,0.68,8.84,0,0,unable to access data

50.229,1.38,1.14,8.73,0,0,unable to access data

50.272,0.99,1.06,8.8,0,0,unable to access data

50.304,1.18,0.45,9.41,0,0,unable to access data

50.336,1.57,0.64,9.64,0,0,unable to access data

