time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata,

47.579,-2.76,6.59,6.28,0,0,28.67038926,77.43104998

47.613,-3.52,6.59,6.59,0,0,28.67038926,77.43104998

47.63,-3.52,6.59,6.59,0,0,28.67038926,77.43104998

47.65,-3.06,6.74,6.74,0,0,28.67038926,77.43104998

47.67,-3.06,6.74,6.74,0,0,28.67038926,77.43104998

47.69,-2.76,6.59,6.59,0,0,28.67038926,77.43104998

47.71,-2.6,6.13,6.28,0,0,28.67038926,77.43104998

47.73,-2.6,6.13,6.28,0,0,28.67038926,77.43104998

47.75,-2.6,5.98,6.28,0,0,28.67038926,77.43104998

47.77,-2.6,6.44,6.44,0,0,28.67038926,77.43104998

47.79,-2.6,6.44,6.44,0,0,28.67038926,77.43104998

47.826,-2.76,6.28,6.28,0,0,28.67038926,77.43104998

47.848,-2.91,6.28,6.28,0,0,28.67038926,77.43104998

47.868,-2.6,6.13,6.28,0,0,28.67038926,77.43104998

47.886,-2.6,6.13,6.28,0,0,28.67038926,77.43104998

47.911,-2.6,6.59,5.98,0,0,28.67038926,77.43104998

47.939,-2.91,6.44,5.98,0,0,28.67038926,77.43104998

47.97,-2.91,6.28,6.28,0,0,28.67038926,77.43104998

47.99,-2.91,6.28,6.28,0,0,28.67038926,77.43104998

48.01,-2.6,6.74,6.28,0,0,28.67038926,77.43104998

48.03,-2.6,6.59,7.35,0,0,28.67038926,77.43104998

48.05,-2.6,6.59,7.35,0,0,28.67038926,77.43104998

48.07,-2.45,5.98,7.35,0,0,28.67038926,77.43104998

48.09,-2.45,5.67,7.2,0,0,28.67038926,77.43104998

48.11,-2.45,5.67,7.2,0,0,28.67038926,77.43104998

48.13,-3.83,5.52,7.05,0,0,28.67038926,77.43104998

48.15,-3.83,5.52,7.05,0,0,28.67038926,77.43104998

48.17,-2.3,5.98,6.28,0,0,28.67038926,77.43104998

48.19,-1.07,6.13,6.44,0,0,28.67038926,77.43104998

48.21,-1.07,6.13,6.44,0,0,28.67038926,77.43104998

48.23,-1.99,5.67,6.74,0,0,28.67038926,77.43104998

48.25,-1.99,5.67,6.74,0,0,28.67038926,77.43104998

48.27,-1.99,5.82,7.2,0,0,28.67038926,77.43104998

48.29,-2.15,5.52,7.81,0,0,28.67038926,77.43104998

48.31,-2.15,5.52,7.81,0,0,28.67038926,77.43104998

48.33,-1.69,5.67,6.59,0,0,28.67038926,77.43104998

48.35,-0.77,6.59,6.13,0,0,28.67038926,77.43104998

48.37,-0.77,6.59,6.13,0,0,28.67038926,77.43104998

48.39,-1.99,5.52,6.74,0,0,28.67038926,77.43104998

48.41,-1.99,5.52,6.74,0,0,28.67038926,77.43104998

48.43,-1.84,6.13,7.2,0,0,28.67038926,77.43104998

48.458,-1.23,6.74,6.59,0,0,28.67038926,77.43104998

48.49,-1.99,5.36,6.13,0,0,28.67038926,77.43104998

48.51,-2.3,5.82,7.2,0,0,28.67038926,77.43104998

48.53,-2.3,5.82,7.2,0,0,28.67038926,77.43104998

48.55,-1.69,5.82,8.12,0,0,28.67038926,77.43104998

48.575,-2.6,5.36,6.59,0,0,28.67038926,77.43104998

48.591,-2.6,5.36,6.59,0,0,28.67038926,77.43104998

48.61,-2.15,5.21,7.35,0,0,28.67038926,77.43104998

48.63,-2.15,5.21,7.35,0,0,28.67038926,77.43104998

48.65,-1.99,4.75,8.27,0,0,28.67038926,77.43104998

48.67,-1.99,4.75,8.27,0,0,28.67038926,77.43104998

48.69,-2.3,4.14,8.89,0,0,28.67038926,77.43104998

48.71,-0.92,5.06,7.66,0,0,28.67038926,77.43104998

48.73,-0.92,5.06,7.66,0,0,28.67038926,77.43104998

48.75,-0.92,5.36,7.2,0,0,28.67038926,77.43104998

48.77,-1.53,5.06,8.27,0,0,28.67038926,77.43104998

48.79,-1.53,5.06,8.27,0,0,28.67038926,77.43104998

48.813,-1.53,5.21,7.81,0,0,28.67038926,77.43104998

48.832,-1.53,5.21,7.81,0,0,28.67038926,77.43104998

48.852,-1.99,5.36,7.97,0,0,28.67038926,77.43104998

48.871,-1.38,5.21,7.35,0,0,28.67038926,77.43104998

48.891,-1.38,5.21,7.35,0,0,28.67038926,77.43104998

48.911,-1.23,5.52,6.9,0,0,28.67038926,77.43104998

48.93,-0.92,5.82,6.74,0,0,28.67038926,77.43104998

48.95,-0.92,5.82,6.74,0,0,28.67038926,77.43104998

48.97,-1.23,5.36,7.2,0,0,28.67038926,77.43104998

48.99,-1.23,5.36,7.2,0,0,28.67038926,77.43104998

49.01,-1.69,5.82,7.2,0,0,28.67038926,77.43104998

49.031,-1.38,6.28,6.74,0,0,28.67038926,77.43104998

49.075,-1.38,6.28,6.74,0,0,28.67038926,77.43104998

49.092,-1.84,5.82,7.05,0,0,28.67038926,77.43104998

49.11,-2.15,6.28,7.35,0,0,28.67038926,77.43104998

49.13,-1.84,6.44,6.44,0,0,28.67038926,77.43104998

49.154,-1.84,6.44,6.44,0,0,28.67038926,77.43104998

49.175,-1.53,6.28,6.74,0,0,28.67038926,77.43104998

49.197,-2.15,6.13,6.74,0,0,28.67038926,77.43104998

49.214,-2.15,6.13,6.74,0,0,28.67038926,77.43104998

49.235,-1.99,6.44,6.59,0,0,28.67038926,77.43104998

49.251,-1.99,6.44,6.59,0,0,28.67038926,77.43104998

49.276,-1.69,6.28,6.44,0,0,28.67038926,77.43104998

49.31,-1.84,6.59,6.59,0,0,28.67038926,77.43104998

49.33,-1.99,6.59,6.59,0,0,28.67038926,77.43104998

49.35,-2.15,6.44,6.13,0,0,28.67038926,77.43104998

49.37,-2.15,6.44,6.13,0,0,28.67038926,77.43104998

49.39,-1.99,6.59,6.44,0,0,28.67038926,77.43104998

49.41,-1.99,6.59,6.44,0,0,28.67038926,77.43104998

49.43,-2.15,6.74,6.28,0,0,28.67038926,77.43104998

49.45,-2.15,6.74,6.13,0,0,28.67038926,77.43104998

49.47,-2.15,6.74,6.13,0,0,28.67038926,77.43104998

49.49,-2.45,6.74,5.82,0,0,28.67038926,77.43104998

49.51,-2.76,7.2,5.52,0,0,28.67038926,77.43104998

49.53,-2.76,7.2,5.52,0,0,28.67038926,77.43104998

49.55,-3.52,7.2,5.98,0,0,28.67038926,77.43104998

49.57,-3.52,7.2,5.98,0,0,28.67038926,77.43104998

49.59,-2.76,7.2,4.9,0,0,28.67038926,77.43104998

49.61,-2.76,7.35,4.75,0,0,28.67038926,77.43104998

49.63,-2.76,7.35,4.75,0,0,28.67038926,77.43104998

49.65,-3.06,7.2,5.21,0,0,28.67038926,77.43104998

49.67,-3.06,7.2,5.21,0,0,28.67038926,77.43104998

49.69,-2.45,6.9,5.67,0,0,28.67038926,77.43104998

49.71,-2.6,6.28,6.28,0,0,28.67038926,77.43104998

49.73,-2.6,6.28,6.28,0,0,28.67038926,77.43104998

49.75,-2.3,5.82,6.28,0,0,28.67038926,77.43104998

49.77,-1.84,5.52,5.98,0,0,28.67038926,77.43104998

