time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata

46.998,0.46,2.15,9.96,0,0,unable to access data

47.057,0.15,1.69,9.65,0,0,unable to access data

47.117,-0.15,1.84,9.5,0,0,unable to access data

47.177,0.31,1.99,10.11,0,0,unable to access data

47.237,0.61,2.3,9.81,0,0,unable to access data

47.298,0.77,2.15,9.81,0,0,unable to access data

47.358,1.07,1.99,9.81,0,0,unable to access data

47.418,1.07,1.84,9.35,0,0,unable to access data

47.478,1.07,1.99,9.81,0,0,unable to access data

47.538,1.07,1.69,9.65,0,0,unable to access data

47.598,1.23,1.84,9.5,0,0,unable to access data

47.658,0.92,1.38,9.96,0,0,unable to access data

47.718,1.07,1.53,9.19,0,0,unable to access data

47.78,0.92,0.77,10.11,0,0,unable to access data

47.839,1.38,0.92,9.65,0,0,unable to access data

47.898,1.53,0.92,9.81,0,0,unable to access data

47.958,2.76,1.38,8.89,0,0,unable to access data

48.017,1.07,0.92,10.27,0,0,unable to access data

48.077,1.23,0.92,8.73,0,0,unable to access data

48.138,-0.61,0.15,11.49,0,0,unable to access data

48.198,2.15,2.15,9.19,0,0,unable to access data

48.258,-0.77,0.46,9.65,0,0,unable to access data

48.318,1.07,0.61,10.73,0,0,unable to access data

48.378,1.84,0.92,11.65,0,0,unable to access data

48.438,-1.07,-0.61,9.04,0,0,unable to access data

48.498,-2.76,0.61,7.97,0,0,unable to access data

48.558,-1.07,0.15,9.96,0,0,unable to access data

48.618,-3.83,-0.61,10.27,0,0,unable to access data

48.678,-4.44,0.31,7.66,0,0,unable to access data

48.738,-4.29,-0.92,8.73,0,0,unable to access data

48.798,-4.14,-0.77,8.43,0,0,unable to access data

48.858,-1.69,0.77,7.51,0,0,unable to access data

48.918,-4.44,-0.46,7.81,0,0,unable to access data

48.98,-2.45,-1.84,11.49,0,0,unable to access data

49.038,-2.6,-1.53,11.49,0,0,unable to access data

49.098,-3.98,-0.77,8.89,0,0,unable to access data

49.158,-2.76,0.92,9.19,0,0,unable to access data

49.218,-3.52,0.31,9.35,0,0,unable to access data

49.277,-4.75,0.31,8.89,0,0,unable to access data

49.338,-4.29,0.15,8.43,0,0,unable to access data

49.397,-4.75,0.15,8.89,0,0,unable to access data

49.458,-3.98,0.46,8.58,0,0,unable to access data

49.518,-3.68,0.31,9.04,0,0,unable to access data

49.578,-3.22,0.77,8.89,0,0,unable to access data

49.637,-2.91,0.61,8.73,0,0,unable to access data

49.697,-3.52,0.61,7.81,0,0,unable to access data

49.757,-4.14,0.31,6.74,0,0,unable to access data

49.818,-5.67,-0.31,7.2,0,0,unable to access data

49.878,-4.29,-1.23,7.05,0,0,unable to access data

49.94,-3.98,-1.38,9.81,0,0,unable to access data

49.999,-4.75,-0.31,9.96,0,0,unable to access data

50.058,-3.83,0.61,10.88,0,0,unable to access data

50.118,-3.52,0.92,10.57,0,0,unable to access data

50.178,-2.3,1.23,9.65,0,0,unable to access data

50.237,-3.22,1.23,10.11,0,0,unable to access data

50.297,-3.83,0.46,7.97,0,0,unable to access data

50.357,-3.98,0.77,7.66,0,0,unable to access data

50.418,-4.6,1.07,8.12,0,0,unable to access data

50.477,-3.52,1.23,9.19,0,0,unable to access data

50.538,-0.15,0.77,6.59,0,0,unable to access data

50.598,-2.3,-1.69,8.12,0,0,unable to access data

50.658,-1.99,-1.53,9.04,0,0,unable to access data

50.718,-4.29,-2.6,15.78,0,0,unable to access data

50.777,-3.68,-2.6,15.78,0,0,unable to access data

50.838,-3.37,5.52,12.87,0,0,unable to access data

50.898,-3.22,-1.53,11.19,0,0,unable to access data

50.958,-0.77,-3.52,8.58,0,0,unable to access data

51.018,-1.07,-0.61,8.12,0,0,unable to access data

51.078,-1.99,-0.31,8.12,0,0,unable to access data

51.138,-2.91,-0.31,9.35,0,0,unable to access data

51.198,-3.22,-0.61,7.51,0,0,unable to access data

51.258,-4.14,1.53,9.35,0,0,unable to access data

51.318,-2.3,0.61,8.27,0,0,unable to access data

51.378,0.46,-0.15,9.35,0,0,unable to access data

51.437,-0.92,0.77,11.03,0,0,unable to access data

51.497,-1.07,0.77,10.27,0,0,unable to access data

51.557,-0.15,1.23,10.57,0,0,unable to access data

51.618,-5.21,3.22,8.43,0,0,unable to access data

51.678,-3.37,2.6,8.27,0,0,unable to access data

51.738,-3.22,1.84,9.81,0,0,unable to access data

51.798,-2.3,3.06,6.28,0,0,unable to access data

51.858,-3.68,3.83,9.96,0,0,unable to access data

51.918,-0.77,3.83,11.19,0,0,unable to access data

51.978,-1.23,3.52,11.03,0,0,unable to access data

52.038,-3.98,3.98,10.57,0,0,unable to access data

52.098,-2.76,3.83,9.81,0,0,unable to access data

52.158,-2.3,2.91,7.51,0,0,unable to access data

52.218,-3.83,3.06,5.98,0,0,unable to access data

52.278,-3.06,4.6,3.83,0,0,unable to access data

52.338,-1.69,4.14,6.13,0,0,unable to access data

52.398,-1.23,4.14,4.9,0,0,unable to access data

52.458,0.77,4.44,6.9,0,0,unable to access data

52.517,0.61,4.14,8.27,0,0,unable to access data

52.577,-1.38,2.6,9.65,0,0,unable to access data

52.638,-3.22,2.91,9.5,0,0,unable to access data

52.698,-2.45,3.22,11.34,0,0,unable to access data

52.758,-1.84,1.53,11.34,0,0,unable to access data

52.818,0.15,2.15,10.42,0,0,unable to access data

52.878,-1.38,2.6,11.03,0,0,unable to access data

52.938,-0.46,3.68,12.26,0,0,unable to access data

52.998,-1.07,2.3,11.34,0,0,unable to access data

53.058,-0.46,3.06,8.58,0,0,unable to access data

53.117,-0.77,2.45,9.04,0,0,unable to access data

53.177,1.84,1.53,7.05,0,0,unable to access data

53.237,1.53,3.52,7.51,0,0,unable to access data

53.298,1.99,1.69,9.65,0,0,unable to access data

53.358,1.07,1.69,10.57,0,0,unable to access data

53.427,-0.92,2.3,10.57,0,0,unable to access data

53.478,-1.23,2.76,10.42,0,0,unable to access data

53.538,-2.3,2.45,10.11,0,0,unable to access data

53.598,-2.6,2.45,9.81,0,0,unable to access data

53.658,-2.45,2.76,9.04,0,0,unable to access data

53.718,-1.38,2.3,8.58,0,0,unable to access data

53.778,-0.15,2.15,7.97,0,0,unable to access data

53.838,-0.15,2.3,8.73,0,0,unable to access data

53.898,-0.46,2.45,7.66,0,0,unable to access data

53.958,-0.92,1.53,8.12,0,0,unable to access data

54.018,-2.45,0.61,10.42,0,0,unable to access data

54.078,-1.07,1.84,11.03,0,0,unable to access data

54.138,-1.07,1.99,11.34,0,0,unable to access data

54.198,-2.15,1.07,11.49,0,0,unable to access data

54.258,0.15,1.69,12.26,0,0,unable to access data

54.318,0.15,1.23,11.19,0,0,unable to access data

54.378,0.15,1.23,10.11,0,0,unable to access data

54.438,0.61,1.23,9.65,0,0,unable to access data

54.497,0.92,1.53,8.89,0,0,unable to access data

54.557,0.46,1.53,8.12,0,0,unable to access data

54.617,0.46,1.99,8.89,0,0,unable to access data

54.678,-0.46,1.99,8.89,0,0,unable to access data

54.737,-1.07,1.84,9.65,0,0,unable to access data

54.797,-0.31,1.69,9.81,0,0,unable to access data

54.857,-0.61,1.99,10.27,0,0,unable to access data

54.918,-0.46,2.45,9.5,0,0,unable to access data

54.978,-0.15,1.99,9.65,0,0,unable to access data

55.037,-0.15,1.84,9.81,0,0,unable to access data

55.098,-0.15,1.99,10.11,0,0,unable to access data

55.158,0.31,1.99,9.96,0,0,unable to access data

55.218,0.46,2.3,10.42,0,0,unable to access data

55.277,0.46,2.15,9.65,0,0,unable to access data

55.338,-0.46,2.15,9.35,0,0,unable to access data

55.398,-0.15,2.15,9.5,0,0,unable to access data

55.458,-0.77,2.3,9.81,0,0,unable to access data

55.518,-0.61,2.45,9.96,0,0,unable to access data

55.578,-1.69,1.99,10.73,0,0,unable to access data

55.638,-3.37,2.76,10.73,0,0,unable to access data

55.698,-4.6,3.06,9.19,0,0,unable to access data

55.758,-4.14,3.98,9.5,0,0,unable to access data

55.818,-5.36,2.91,8.58,0,0,unable to access data

55.878,-6.13,0.61,11.34,0,0,unable to access data

55.938,-1.99,0.92,13.94,0,0,unable to access data

55.998,-0.31,2.3,8.27,0,0,unable to access data

56.057,-0.31,0.61,5.06,0,0,unable to access data

56.118,3.06,-1.84,2.76,0,0,unable to access data

56.178,4.9,-0.15,7.66,0,0,unable to access data

56.238,1.99,-1.84,5.67,0,0,unable to access data

56.298,1.99,-0.61,12.56,0,0,unable to access data

56.358,0.46,2.3,12.56,0,0,unable to access data

56.417,-3.98,0.92,9.81,0,0,unable to access data

56.477,-0.92,2.76,10.57,0,0,unable to access data

56.537,-1.99,0.92,7.66,0,0,unable to access data

56.598,-9.35,2.45,4.44,0,0,unable to access data

56.658,-3.83,0.77,12.56,0,0,unable to access data

56.718,-5.98,1.38,8.89,0,0,unable to access data

56.778,-2.3,1.38,9.04,0,0,unable to access data

56.838,-6.59,1.99,9.04,0,0,unable to access data

56.898,-1.53,0.92,8.73,0,0,unable to access data

56.958,-5.36,1.69,7.05,0,0,unable to access data

57.018,-0.46,-0.61,11.8,0,0,unable to access data

57.078,-3.68,0.61,9.81,0,0,unable to access data

57.138,-2.91,0.31,9.81,0,0,unable to access data

57.198,-2.6,1.07,9.5,0,0,unable to access data

57.258,-4.29,0.61,9.04,0,0,unable to access data

57.318,-5.52,1.99,9.04,0,0,unable to access data

57.378,-5.67,0.15,9.5,0,0,unable to access data

57.438,-3.83,0.46,7.81,0,0,unable to access data

57.498,-4.29,1.23,9.81,0,0,unable to access data

57.558,-5.36,1.23,5.82,0,0,unable to access data

57.618,-3.22,2.91,11.03,0,0,unable to access data

57.678,-6.74,-3.06,7.35,0,0,unable to access data

57.738,-5.67,-1.84,10.11,0,0,unable to access data

57.798,-4.9,-0.61,9.81,0,0,unable to access data

57.858,-3.22,-0.15,9.81,0,0,unable to access data

57.918,-3.22,-0.46,8.73,0,0,unable to access data

57.978,-2.15,-1.69,8.58,0,0,unable to access data

58.037,-3.06,0.46,9.35,0,0,unable to access data

58.097,-5.36,3.06,9.04,0,0,unable to access data

58.157,-2.45,-0.77,8.58,0,0,unable to access data

58.218,-3.68,0.92,9.04,0,0,unable to access data

58.278,-3.83,-0.92,9.81,0,0,unable to access data

58.338,-5.67,-0.92,9.96,0,0,unable to access data

58.398,-2.45,-0.15,9.65,0,0,unable to access data

58.458,-2.3,4.75,8.27,0,0,unable to access data

58.518,-2.3,-0.46,9.81,0,0,unable to access data

58.578,-1.53,2.91,8.12,0,0,unable to access data

58.638,-2.91,-2.6,10.73,0,0,unable to access data

58.698,-0.61,0.77,9.19,0,0,unable to access data

58.758,-0.77,0.46,10.11,0,0,unable to access data

58.818,-3.37,0.77,9.65,0,0,unable to access data

58.878,-3.06,1.84,9.5,0,0,unable to access data

58.938,-3.37,2.45,8.89,0,0,unable to access data

58.998,-2.3,3.22,7.97,0,0,unable to access data

59.058,-3.98,1.23,9.81,0,0,unable to access data

59.118,-3.83,-2.15,9.65,0,0,unable to access data

59.178,-2.45,1.99,9.5,0,0,unable to access data

59.238,-1.84,2.6,8.73,0,0,unable to access data

59.298,-2.91,1.99,9.5,0,0,unable to access data

59.358,-2.45,1.84,9.5,0,0,unable to access data

59.417,-2.91,-2.91,9.65,0,0,unable to access data

59.477,-1.69,-2.91,9.04,0,0,unable to access data

59.538,-3.37,0.92,9.65,0,0,unable to access data

59.598,-3.22,0.61,9.5,0,0,unable to access data

59.658,-3.06,0.92,9.35,0,0,unable to access data

59.717,-3.37,0.77,9.5,0,0,unable to access data

59.777,-2.91,1.07,9.19,0,0,unable to access data

59.838,-2.91,0.46,9.19,0,0,unable to access data

59.898,-3.06,0.77,8.89,0,0,unable to access data

59.958,-3.06,1.23,9.5,0,0,unable to access data

60.018,-3.37,1.07,9.65,0,0,unable to access data

60.078,-3.22,1.38,9.19,0,0,unable to access data

60.138,-2.91,1.07,9.19,0,0,unable to access data

60.198,-3.06,0.92,9.35,0,0,unable to access data

60.258,-2.91,0.77,9.19,0,0,unable to access data

60.318,-2.6,1.07,9.04,0,0,unable to access data

60.378,-3.37,1.53,9.5,0,0,unable to access data

60.438,-3.83,1.38,9.19,0,0,unable to access data

60.498,-3.98,1.38,9.19,0,0,unable to access data

60.558,-3.37,1.38,9.04,0,0,unable to access data

60.618,-3.37,1.38,9.35,0,0,unable to access data

60.678,-3.52,1.53,8.89,0,0,unable to access data

60.738,-3.83,1.53,9.19,0,0,unable to access data

60.798,-3.68,1.53,9.04,0,0,unable to access data

60.858,-3.52,1.38,9.04,0,0,unable to access data

60.918,-3.37,1.23,9.35,0,0,unable to access data

60.978,-3.37,1.53,8.89,0,0,unable to access data

61.038,-3.98,1.38,8.89,0,0,unable to access data

61.098,-3.37,1.23,9.04,0,0,unable to access data

61.158,-3.52,1.69,9.04,0,0,unable to access data

61.218,-3.37,1.38,9.04,0,0,unable to access data

61.278,-3.52,1.38,9.19,0,0,unable to access data

61.337,-3.52,1.69,9.04,0,0,unable to access data

61.397,-3.68,1.53,9.04,0,0,unable to access data

61.457,-3.52,0.31,9.19,0,0,unable to access data

61.518,-3.06,1.84,9.19,0,0,unable to access data

61.578,-3.83,1.69,9.19,0,0,unable to access data

61.638,-3.37,1.69,9.04,0,0,unable to access data

61.698,-3.68,1.69,9.04,0,0,unable to access data

61.758,-3.83,1.69,9.04,0,0,unable to access data

61.818,-3.52,1.53,8.89,0,0,unable to access data

61.878,-3.37,1.53,9.19,0,0,unable to access data

61.938,-3.52,1.38,8.89,0,0,unable to access data

61.998,-3.37,1.53,9.04,0,0,unable to access data

62.058,-3.37,1.53,9.19,0,0,unable to access data

62.118,-3.52,1.38,9.04,0,0,unable to access data

