time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata

28.097,-0.19,3.87,10.8,0,0,unable to access data

28.129,0.41,3.45,9.26,0,0,unable to access data

28.16,0.15,4.29,8.58,0,0,unable to access data

28.191,-0.07,4.21,8.77,0,0,unable to access data

28.223,0,3.87,9.22,0,0,unable to access data

28.255,0.26,3.7,9.07,0,0,unable to access data

28.286,0.15,3.83,9.26,0,0,unable to access data

28.318,0.07,3.83,9.34,0,0,unable to access data

28.349,0.11,3.75,8.96,0,0,unable to access data

28.381,0,3.79,9.07,0,0,unable to access data

28.413,0.11,3.75,9.22,0,0,unable to access data

28.445,0.19,3.75,9.11,0,0,unable to access data

28.477,-0.03,3.87,9.15,0,0,unable to access data

28.508,0.03,3.7,9.34,0,0,unable to access data

28.542,0.11,3.68,9.15,0,0,unable to access data

28.578,0.03,3.83,8.92,0,0,unable to access data

28.611,0,3.87,8.88,0,0,unable to access data

28.644,-0.07,3.79,9.03,0,0,unable to access data

28.676,-0.03,3.79,9.19,0,0,unable to access data

28.708,-0.07,3.83,9.11,0,0,unable to access data

28.739,-0.03,3.87,8.99,0,0,unable to access data

28.771,-0.07,3.94,9.07,0,0,unable to access data

28.803,-0.07,3.94,9.3,0,0,unable to access data

28.834,0.03,3.75,9.41,0,0,unable to access data

28.866,0.07,3.7,9.22,0,0,unable to access data

28.898,0.11,3.7,9.03,0,0,unable to access data

28.929,0,3.64,9.07,0,0,unable to access data

28.961,0.3,3.55,8.84,0,0,unable to access data

28.993,0.19,3.51,8.77,0,0,unable to access data

29.024,-0.41,3.83,8.77,0,0,unable to access data

29.056,-0.72,3.47,9.26,0,0,unable to access data

29.088,-0.8,2.75,9.64,0,0,unable to access data

29.119,-1.02,2.79,9.92,0,0,unable to access data

29.151,-1.38,2.98,10.15,0,0,unable to access data

29.183,-1.44,2.9,9.77,0,0,unable to access data

29.215,-1.25,3.02,9.34,0,0,unable to access data

29.246,-1.02,2.9,9.41,0,0,unable to access data

29.278,-0.91,2.67,9.53,0,0,unable to access data

29.31,-0.76,2.64,9.22,0,0,unable to access data

29.341,-0.57,2.48,9.41,0,0,unable to access data

29.373,-0.61,2.56,9.6,0,0,unable to access data

29.405,-0.57,2.64,9.11,0,0,unable to access data

