time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata

52.49 s,-0.61,3.52,9.04,0,0,unable to access data

52.550000000000004 s,-1.23,3.37,9.35,0,0,unable to access data

52.61 s,-0.77,3.06,9.19,0,0,unable to access data

52.67 s,-0.77,3.22,9.19,0,0,unable to access data

52.730000000000004 s,-0.77,3.37,9.04,0,0,unable to access data

52.79 s,-0.46,3.52,9.19,0,0,unable to access data

52.85 s,-0.31,3.37,9.35,0,0,unable to access data

52.911 s,-0.77,2.6,8.73,0,0,unable to access data

52.972 s,-0.92,1.99,9.5,0,0,unable to access data

53.03 s,-1.07,1.99,9.96,0,0,unable to access data

53.09 s,-0.77,1.69,9.96,0,0,unable to access data

53.15 s,-1.38,2.76,9.04,0,0,unable to access data

53.21 s,-0.61,1.84,9.5,0,0,unable to access data

53.27 s,-0.31,1.53,10.11,0,0,unable to access data

53.33 s,-0.15,1.23,10.11,0,0,unable to access data

53.39 s,-0.46,1.69,9.65,0,0,unable to access data

53.45 s,-0.15,1.53,9.96,0,0,unable to access data

53.51 s,-0.15,1.53,9.65,0,0,unable to access data

53.57 s,0.31,1.07,10.27,0,0,unable to access data

53.63 s,0.31,2.3,10.42,0,0,unable to access data

53.69 s,1.07,1.99,9.81,0,0,unable to access data

53.75 s,0.92,1.99,8.89,0,0,unable to access data

53.81 s,0.61,1.69,9.35,0,0,unable to access data

53.870000000000005 s,1.07,1.53,8.73,0,0,unable to access data

53.93 s,0.77,1.38,8.89,0,0,unable to access data

53.992000000000004 s,1.38,1.53,9.81,0,0,unable to access data

54.052 s,1.38,1.53,10.73,0,0,unable to access data

54.111000000000004 s,2.3,-1.38,8.58,0,0,unable to access data

54.17 s,2.45,-1.53,10.27,0,0,unable to access data

54.231 s,3.06,-1.23,8.89,0,0,unable to access data

54.29 s,2.45,-1.69,8.27,0,0,unable to access data

54.35 s,3.37,-1.69,8.12,0,0,unable to access data

54.410000000000004 s,0.61,-1.69,11.19,0,0,unable to access data

54.47 s,1.84,-1.84,11.03,0,0,unable to access data

54.53 s,0.92,-0.15,10.11,0,0,unable to access data

54.59 s,0.77,0.77,10.88,0,0,unable to access data

54.65 s,0.46,1.38,8.73,0,0,unable to access data

54.71 s,0.77,1.69,8.27,0,0,unable to access data

54.77 s,0.31,2.6,8.73,0,0,unable to access data

54.83 s,-0.15,3.06,8.27,0,0,unable to access data

54.89 s,-0.15,2.76,8.73,0,0,unable to access data

54.95 s,-0.15,2.91,9.35,0,0,unable to access data

55.01 s,-0.15,2.76,9.65,0,0,unable to access data

55.07 s,0.31,2.6,9.5,0,0,unable to access data

