time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata

51.251,0.27,4.75,7.77,0,0,unable to access data

51.282,0.23,4.56,8,0,0,unable to access data

51.312,0.34,4.52,8.31,0,0,unable to access data

51.344,0.38,4.59,8.23,0,0,unable to access data

51.38,0.42,4.52,8.61,0,0,unable to access data

51.41,0.34,4.36,8.84,0,0,unable to access data

51.441,0.34,4.29,8.84,0,0,unable to access data

51.471,0.38,4.29,9.03,0,0,unable to access data

51.502,0.42,4.25,9,0,0,unable to access data

51.533,0.46,4.29,8.92,0,0,unable to access data

51.563,0.46,4.21,8.73,0,0,unable to access data

51.594,0.61,4.33,8.61,0,0,unable to access data

51.624,0.5,4.44,8.38,0,0,unable to access data

51.655,0.34,4.33,8.58,0,0,unable to access data

51.685,0.42,4.06,8.96,0,0,unable to access data

51.716,0.77,3.94,8.8,0,0,unable to access data

51.746,0.88,4.1,8.58,0,0,unable to access data

51.777,1.15,3.98,8.73,0,0,unable to access data

51.807,1.3,3.71,9.19,0,0,unable to access data

51.837,1.11,3.64,9.46,0,0,unable to access data

51.868,0.92,3.56,8.92,0,0,unable to access data

51.898,1.11,3.37,9.07,0,0,unable to access data

51.929,1.03,2.99,9.3,0,0,unable to access data

51.96,0.84,2.87,9.38,0,0,unable to access data

51.99,0.69,3.18,9.19,0,0,unable to access data

52.021,0.77,3.48,9,0,0,unable to access data

52.051,0.61,3.75,8.84,0,0,unable to access data

52.082,0.42,3.48,9.07,0,0,unable to access data

52.112,0.77,3.41,9.61,0,0,unable to access data

52.143,1.03,3.29,9.61,0,0,unable to access data

52.173,1.07,3.37,9.72,0,0,unable to access data

52.204,1.19,3.33,9.88,0,0,unable to access data

52.234,1.03,3.06,8.96,0,0,unable to access data

52.265,1.11,3.29,8.58,0,0,unable to access data

52.296,1.3,3.6,8.69,0,0,unable to access data

52.326,1.38,3.29,8.54,0,0,unable to access data

52.357,1.34,3.1,8.73,0,0,unable to access data

52.387,1.61,3.29,9.03,0,0,unable to access data

52.418,1.42,3.02,9.15,0,0,unable to access data

52.448,1.38,2.87,9.07,0,0,unable to access data

52.479,1.49,3.14,8.92,0,0,unable to access data

