time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata,

51.344,-1.23,1.38,8.89,0,0,28.61123824,77.36061895

51.378,-0.92,1.53,9.19,0,0,28.61123824,77.36061895

51.396,-0.92,1.53,9.19,0,0,28.61123824,77.36061895

51.416,-0.46,1.53,9.5,0,0,28.61123824,77.36061895

51.446,-0.31,1.38,9.65,0,0,28.61123824,77.36061895

51.481,-0.46,1.38,9.5,0,0,28.61123824,77.36061895

51.5,-0.46,1.38,9.65,0,0,28.61123824,77.36061895

51.517,-0.46,1.38,9.65,0,0,28.61123824,77.36061895

51.536,-0.15,1.38,9.81,0,0,28.61123824,77.36061895

51.556,-0.15,1.38,9.81,0,0,28.61123824,77.36061895

51.576,-0.31,1.23,9.96,0,0,28.61123824,77.36061895

51.596,-0.46,1.07,10.11,0,0,28.61123824,77.36061895

51.616,-0.46,1.07,10.11,0,0,28.61123824,77.36061895

51.636,-0.46,1.23,9.96,0,0,28.61123824,77.36061895

51.656,-0.46,1.23,9.96,0,0,28.61123824,77.36061895

51.676,-0.61,1.23,9.96,0,0,28.61123824,77.36061895

51.696,-0.15,0.92,9.81,0,0,28.61123824,77.36061895

51.716,-0.15,0.92,9.81,0,0,28.61123824,77.36061895

51.736,0.15,0.46,10.27,0,0,28.61123824,77.36061895

51.756,0.15,0.46,10.27,0,0,28.61123824,77.36061895

51.776,0.31,0.46,9.81,0,0,28.61123824,77.36061895

51.796,0.31,0.46,9.35,0,0,28.61123824,77.36061895

51.816,0.31,0.46,9.35,0,0,28.61123824,77.36061895

51.836,0.31,0.61,9.35,0,0,28.61123824,77.36061895

51.856,0.46,0.15,8.73,0,0,28.61123824,77.36061895

51.876,0.46,0.15,8.73,0,0,28.61123824,77.36061895

51.896,0.92,0.15,9.35,0,0,28.61123824,77.36061895

51.916,0.92,0.15,9.35,0,0,28.61123824,77.36061895

51.936,0.92,0.31,9.65,0,0,28.61123824,77.36061895

51.956,0.77,0.31,9.35,0,0,28.61123824,77.36061895

51.976,0.77,0.31,9.35,0,0,28.61123824,77.36061895

51.996,0.77,-0.15,8.89,0,0,28.61123824,77.36061895

52.016,0.92,0.31,8.89,0,0,28.61123824,77.36061895

52.036,0.92,0.31,8.89,0,0,28.61123824,77.36061895

52.056,0.46,0.15,8.73,0,0,28.61123824,77.36061895

52.076,0.46,0.15,8.73,0,0,28.61123824,77.36061895

52.097,0.31,0.46,9.04,0,0,28.61123824,77.36061895

52.116,0.15,0.46,9.19,0,0,28.61123824,77.36061895

52.136,0.15,0.46,9.19,0,0,28.61123824,77.36061895

52.156,-0.31,0.46,9.04,0,0,28.61123824,77.36061895

52.179,-0.15,0.61,8.89,0,0,28.61123824,77.36061895

52.209,-0.15,0.61,8.89,0,0,28.61123824,77.36061895

