time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata

49.964,-0.26,2.83,9.49,0,0,unable to access data

49.996,-0.45,2.86,9.53,0,0,unable to access data

50.027,-0.41,2.83,9.38,0,0,unable to access data

50.058,-0.53,2.9,9.49,0,0,unable to access data

50.099,-0.68,2.71,9.6,0,0,unable to access data

50.131,-0.64,2.71,9.3,0,0,unable to access data

50.162,-0.8,2.79,9.07,0,0,unable to access data

50.195,-0.99,2.83,9.19,0,0,unable to access data

50.227,-1.57,2.86,9.19,0,0,unable to access data

50.258,-1.63,2.83,9.03,0,0,unable to access data

50.29,-1.33,2.52,8.96,0,0,unable to access data

50.322,-1.14,2.41,9.03,0,0,unable to access data

50.354,-1.06,2.45,9.53,0,0,unable to access data

50.385,-0.95,2.22,9.83,0,0,unable to access data

50.417,-0.8,2.06,10.26,0,0,unable to access data

50.448,-0.76,1.99,10.57,0,0,unable to access data

50.48,-0.72,1.95,10.57,0,0,unable to access data

50.512,-0.64,2.03,10.11,0,0,unable to access data

50.543,-0.57,1.95,9.58,0,0,unable to access data

50.575,-0.49,1.95,9.41,0,0,unable to access data

50.607,-0.53,1.95,9.58,0,0,unable to access data

50.638,-0.68,1.91,9.81,0,0,unable to access data

50.67,-0.91,2.03,9.77,0,0,unable to access data

50.702,-1.02,2.18,9.6,0,0,unable to access data

50.733,-1.02,2.25,9.49,0,0,unable to access data

50.765,-0.91,2.22,9.53,0,0,unable to access data

50.797,-0.95,2.1,9.72,0,0,unable to access data

50.828,-1.1,2.18,9.77,0,0,unable to access data

50.86,-1.33,2.29,9.77,0,0,unable to access data

50.891,-1.44,2.37,9.6,0,0,unable to access data

50.923,-1.48,2.33,9.6,0,0,unable to access data

50.955,-1.42,2.29,9.68,0,0,unable to access data

50.987,-1.48,2.33,9.53,0,0,unable to access data

51.019,-1.53,2.29,9.45,0,0,unable to access data

51.057,-1.48,2.25,9.53,0,0,unable to access data

51.095,-1.44,2.25,9.53,0,0,unable to access data

51.133,-1.42,2.25,9.38,0,0,unable to access data

51.164,-1.33,2.18,9.41,0,0,unable to access data

51.196,-1.33,2.18,9.49,0,0,unable to access data

51.228,-1.33,2.18,9.58,0,0,unable to access data

51.26,-1.23,2.03,9.6,0,0,unable to access data

51.291,-1.14,2.1,9.53,0,0,unable to access data

51.323,-1.25,2.1,9.58,0,0,unable to access data

51.354,-1.29,2.06,9.83,0,0,unable to access data

51.386,-1.33,2.03,9.92,0,0,unable to access data

51.418,-1.42,2.1,9.83,0,0,unable to access data

51.45,-1.38,2.14,9.81,0,0,unable to access data
