time,x-axis,y-axis,z-axis,Event1,Event2

32.158,2.76,7.2,5.21,0,0

32.218,3.68,6.9,5.06,0,0

32.278,3.22,7.05,4.9,0,0

32.339,2.91,7.05,4.9,0,0

32.408,3.06,7.2,5.67,0,0

32.468,2.76,7.2,5.21,0,0

32.528,2.15,6.9,6.13,0,0

32.588,2.76,6.44,6.59,0,0

32.648,2.76,5.98,5.52,0,0

32.708,2.76,5.52,6.44,0,0

32.768,1.99,6.28,7.2,0,0

32.83,2.3,7.05,7.51,0,0

32.898,3.06,6.59,6.74,0,0

32.959,2.45,5.67,5.82,0,0

33.018,2.45,5.52,5.98,0,0

33.078,2.45,6.13,6.44,0,0

33.138,2.91,6.74,7.2,0,0

33.198,2.91,6.28,6.28,0,0

33.258,1.99,5.36,5.67,0,0

33.318,1.99,5.67,6.28,0,0

33.378,2.45,6.13,6.59,0,0

33.438,2.76,6.44,7.35,0,0

33.498,2.6,6.28,7.2,0,0

33.559,1.99,6.13,7.51,0,0

33.628,2.3,6.59,7.35,0,0

33.688,2.15,5.82,6.59,0,0

33.75,1.07,5.06,5.82,0,0

33.818,1.07,5.52,7.51,0,0

33.878,1.69,5.82,8.58,0,0

33.938,1.38,5.67,7.81,0,0

33.998,0.92,5.21,6.9,0,0

34.058,0.46,4.6,7.35,0,0

34.118,0.92,4.6,8.58,0,0

34.178,0.92,4.6,8.89,0,0

34.238,0.92,4.29,8.89,0,0

34.298,1.23,4.44,8.27,0,0

34.358,1.53,3.68,8.58,0,0

34.418,1.99,3.83,8.58,0,0

34.478,1.53,3.98,8.27,0,0

34.538,2.15,3.98,8.58,0,0

34.608,1.84,4.29,8.27,0,0

34.668,2.3,4.9,7.97,0,0

34.728,2.45,4.9,8.43,0,0

34.788,2.6,4.75,8.73,0,0

34.848,2.3,4.14,8.58,0,0

34.908,2.6,3.83,8.73,0,0

34.968,2.6,3.83,7.81,0,0

35.028,2.76,3.98,6.74,0,0

35.088,2.45,4.9,7.51,0,0

35.16,2.15,5.06,8.58,0,0

35.228,2.15,4.9,7.66,0,0

35.288,2.15,4.75,7.05,0,0

35.348,2.45,5.06,7.51,0,0

35.409,2.15,6.13,6.28,0,0

35.468,2.3,6.59,6.74,0,0

35.528,1.84,6.28,6.44,0,0

35.588,1.38,5.67,6.74,0,0

35.648,1.84,5.06,7.66,0,0

35.708,1.84,5.06,7.66,0,0

35.768,2.6,5.52,7.05,0,0

35.828,2.3,5.98,6.44,0,0

