time,x-axis,y-axis,z-axis,Event1,Event2

31.318,-2.3,5.06,7.2,0,0

31.379,-1.99,4.6,7.66,0,0

31.438,-1.84,4.29,7.81,0,0

31.498,-1.99,4.29,8.12,0,0

31.558,-1.84,4.6,7.97,0,0

31.618,-1.84,4.44,7.97,0,0

31.678,-1.84,4.44,7.97,0,0

31.738,-1.84,4.44,7.97,0,0

31.8,-1.84,4.44,8.12,0,0

31.868,-1.69,4.6,7.81,0,0

31.939,-1.53,4.44,7.97,0,0

31.998,-1.69,4.44,8.12,0,0

32.061,-1.69,4.44,7.97,0,0

32.128,-1.53,4.44,7.97,0,0

32.188,-1.69,4.44,8.12,0,0

32.248,-1.53,4.44,7.97,0,0

32.309,-1.53,4.44,7.97,0,0

32.379,-1.69,4.29,7.97,0,0

32.438,-1.53,4.44,7.81,0,0

32.498,-1.53,4.44,8.12,0,0

32.559,-1.23,4.29,8.12,0,0

32.618,-1.38,4.44,7.97,0,0

32.678,-1.69,4.29,7.81,0,0

32.738,-2.15,4.29,8.27,0,0

32.799,-2.76,4.9,7.97,0,0

32.858,-2.76,5.21,8.27,0,0

32.918,-2.15,4.6,9.04,0,0

32.979,-1.69,3.68,8.43,0,0

33.039,-1.69,3.83,7.51,0,0

33.099,-1.84,3.83,6.9,0,0

33.158,-1.84,3.98,7.97,0,0

33.218,-1.84,3.83,8.27,0,0

33.278,-1.69,3.83,8.58,0,0

33.338,-1.84,4.29,8.73,0,0

33.398,-2.15,3.98,8.58,0,0

33.458,-3.22,3.68,8.12,0,0

33.518,-3.68,3.52,8.43,0,0

33.578,-4.14,3.68,7.66,0,0

33.638,-3.98,3.52,7.35,0,0

33.698,-3.68,3.83,7.2,0,0

33.758,-3.37,4.14,7.81,0,0

33.819,-3.37,4.44,7.97,0,0

33.881,-3.37,4.6,8.27,0,0

33.948,-3.37,4.6,7.51,0,0

34.013,-3.22,3.98,7.51,0,0

34.078,-3.06,4.14,7.2,0,0

34.138,-3.06,4.14,7.97,0,0

34.198,-3.06,4.29,7.97,0,0

34.258,-3.06,4.29,8.12,0,0

34.318,-3.06,4.14,7.81,0,0

34.378,-3.22,3.98,7.81,0,0

34.438,-3.06,3.98,7.81,0,0

34.498,-3.22,4.14,7.97,0,0

34.559,-3.06,4.29,7.97,0,0

34.618,-2.91,4.14,7.97,0,0

34.678,-2.91,3.98,7.81,0,0

34.738,-2.91,4.14,7.81,0,0

34.799,-2.91,4.14,8.12,0,0

34.858,-2.91,3.98,7.97,0,0

34.918,-2.76,3.98,7.97,0,0

34.987,-2.91,3.83,8.12,0,0

35.048,-2.76,3.98,8.12,0,0

35.108,-2.76,3.83,8.12,0,0

35.168,-2.91,3.83,8.12,0,0

35.228,-2.91,3.83,7.97,0,0

35.307,-2.91,3.83,7.97,0,0

35.368,-2.91,3.98,7.81,0,0

35.428,-3.06,3.98,8.27,0,0

35.498,-3.22,4.14,8.27,0,0

35.568,-3.06,3.98,8.12,0,0

35.628,-2.91,4.14,7.97,0,0

35.688,-2.76,3.98,7.97,0,0

35.748,-2.76,4.14,7.97,0,0

35.816,-2.91,3.98,8.12,0,0

35.878,-2.91,3.98,8.12,0,0

35.938,-2.76,3.83,7.81,0,0

35.998,-2.76,3.83,7.97,0,0

36.068,-3.06,3.83,7.97,0,0

36.138,-2.91,3.98,7.81,0,0

36.198,-2.76,4.14,7.81,0,0

36.258,-3.06,4.14,7.97,0,0

36.318,-2.91,4.14,8.12,0,0

36.378,-2.76,4.14,8.12,0,0

36.438,-2.6,4.14,7.97,0,0

36.498,-2.45,4.14,7.97,0,0

36.568,-2.6,3.83,8.12,0,0

36.628,-2.6,3.83,7.81,0,0

36.688,-2.45,3.83,8.12,0,0

36.748,-2.6,3.83,7.97,0,0

36.818,-2.6,4.14,7.97,0,0

36.878,-2.76,3.98,7.81,0,0

36.938,-2.91,3.98,7.97,0,0

36.998,-2.76,3.98,7.81,0,0

37.068,-2.76,4.14,7.97,0,0

37.128,-2.76,4.14,8.12,0,0

37.188,-2.76,4.29,8.43,0,0

37.248,-2.76,4.14,8.43,0,0

37.308,-2.76,4.14,7.81,0,0

37.37,-2.76,3.83,7.81,0,0

37.438,-2.91,3.83,7.81,0,0

37.498,-2.6,4.14,7.35,0,0

37.558,-2.6,4.14,7.97,0,0

37.618,-2.6,4.29,7.97,0,0

37.678,-2.6,4.14,7.97,0,0

37.747,-2.6,4.14,8.12,0,0

37.808,-2.6,3.98,8.27,0,0

37.868,-2.6,4.29,7.97,0,0

37.928,-3.06,3.83,7.97,0,0

37.988,-3.06,3.98,7.66,0,0

38.057,-2.76,4.29,7.81,0,0

38.119,-2.91,4.29,7.97,0,0

38.178,-3.22,4.14,7.97,0,0

38.238,-2.91,4.29,7.81,0,0

38.298,-3.22,3.98,7.81,0,0

38.358,-3.06,3.98,7.66,0,0

38.418,-3.06,3.98,7.51,0,0

38.487,-3.22,4.14,7.81,0,0

38.547,-3.06,4.29,7.97,0,0

38.608,-2.6,4.29,8.12,0,0

38.668,-2.45,4.29,7.97,0,0

38.728,-2.76,4.29,8.12,0,0

38.807,-2.76,4.14,7.81,0,0

38.871,-2.76,4.14,7.81,0,0

38.945,-2.76,3.98,7.97,0,0

39.008,-2.76,4.29,7.81,0,0

39.071,-2.76,4.29,7.66,0,0

39.138,-3.06,4.29,8.12,0,0

39.198,-2.91,3.98,7.66,0,0

39.258,-2.6,4.14,7.97,0,0

