time,x-axis,y-axis,z-axis,Event1,Event2,latitude,longitude
48.059 , -1.23 , 5.98 , 8.120000000000001,0,0,0.0 , 0.0
48.120000000000005 , -1.3800000000000001 , 6.13 , 7.05,0,0,0.0 , 0.0
48.179 , -0.77 , 5.36 , 8.58,0,0,0.0 , 0.0
48.239000000000004 , -0.61 , 5.5200000000000005 , 8.43,0,0,0.0 , 0.0
48.299 , -0.15 , 5.36 , 8.120000000000001,0,0,0.0 , 0.0
48.359 , -0.15 , 5.36 , 8.120000000000001,0,0,0.0 , 0.0
48.419000000000004 , -0.77 , 5.36 , 7.97,0,0,0.0 , 0.0
48.479 , -0.77 , 5.36 , 7.97,0,0,0.0 , 0.0
48.539 , -1.07 , 6.13 , 8.43,0,0,0.0 , 0.0
48.6 , -0.15 , 5.21 , 7.2,0,0,0.0 , 0.0
48.659 , -0.61 , 5.67 , 7.66,0,0,0.0 , 0.0
48.719 , -1.07 , 5.36 , 9.040000000000001,0,0,0.0 , 0.0
48.779 , -0.92 , 5.5200000000000005 , 7.3500000000000005,0,0,0.0 , 0.0
48.839 , -1.23 , 4.9 , 8.89,0,0,0.0 , 0.0
48.9 , -0.92 , 5.21 , 8.43,0,0,0.0 , 0.0
48.96 , -0.15 , 4.6000000000000005 , 8.89,0,0,0.0 , 0.0
49.019 , -0.46 , 4.75 , 8.43,0,0,0.0 , 0.0
49.079 , -0.46 , 4.6000000000000005 , 7.51,0,0,0.0 , 0.0
49.14 , -1.07 , 4.75 , 9.96,0,0,0.0 , 0.0
49.2 , -0.46 , 4.29 , 7.51,0,0,0.0 , 0.0
49.26 , -1.07 , 4.14 , 8.27,0,0,0.0 , 0.0
49.319 , -0.15 , 4.29 , 8.27,0,0,0.0 , 0.0
49.38 , 0.31 , 3.37 , 8.58,0,0,0.0 , 0.0
49.44 , 0.31 , 3.83 , 8.27,0,0,0.0 , 0.0
49.5 , 0.31 , 4.14 , 8.73,0,0,0.0 , 0.0
49.562 , -0.77 , 4.6000000000000005 , 9.5,0,0,0.0 , 0.0
49.621 , -0.77 , 5.21 , 7.05,0,0,0.0 , 0.0
49.68 , -1.07 , 4.6000000000000005 , 9.65,0,0,0.0 , 0.0
49.74 , 0.31 , 5.0600000000000005 , 8.27,0,0,0.0 , 0.0
49.800000000000004 , -0.15 , 4.29 , 8.27,0,0,0.0 , 0.0
49.859 , -0.61 , 5.5200000000000005 , 9.040000000000001,0,0,0.0 , 0.0
49.919000000000004 , -1.3800000000000001 , 4.6000000000000005 , 9.65,0,0,0.0 , 0.0
49.979 , -1.07 , 4.75 , 8.73,0,0,0.0 , 0.0
50.039 , -0.92 , 4.6000000000000005 , 9.19,0,0,0.0 , 0.0
50.099000000000004 , -1.07 , 3.98 , 9.040000000000001,0,0,0.0 , 0.0
50.159 , -1.23 , 4.75 , 8.89,0,0,0.0 , 0.0
50.219 , -0.15 , 3.68 , 8.43,0,0,0.0 , 0.0
50.28 , -0.31 , 3.52 , 9.5,0,0,0.0 , 0.0
50.34 , -0.92 , 4.29 , 8.27,0,0,0.0 , 0.0
50.4 , -0.77 , 3.68 , 8.27,0,0,0.0 , 0.0
50.459 , -1.3800000000000001 , 4.29 , 9.040000000000001,0,0,0.0 , 0.0
50.52 , -0.92 , 4.44 , 9.040000000000001,0,0,0.0 , 0.0
50.579 , -1.07 , 3.98 , 8.89,0,0,0.0 , 0.0
