time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata

132.983,-2.6,5.36,9.5,0,0,unable to access data

133.043,-1.69,5.36,7.81,0,0,unable to access data

133.103,-1.23,5.36,8.12,0,0,unable to access data

133.163,-1.38,5.21,7.81,0,0,unable to access data

133.223,-1.53,5.06,7.51,0,0,unable to access data

133.284,-1.53,4.9,7.66,0,0,unable to access data

133.344,-2.76,3.98,6.9,0,0,unable to access data

133.404,-2.15,4.14,7.2,0,0,unable to access data

133.466,-1.99,3.98,10.11,0,0,unable to access data

133.526,-1.99,4.75,9.04,0,0,unable to access data

133.585,-0.61,3.22,9.65,0,0,unable to access data

133.645,-1.53,4.44,8.27,0,0,unable to access data

133.704,-0.15,5.52,12.11,0,0,unable to access data

133.764,0.92,4.44,10.11,0,0,unable to access data

133.824,-0.31,4.9,7.35,0,0,unable to access data

133.884,-1.07,5.06,11.19,0,0,unable to access data

133.943,0.46,4.75,9.35,0,0,unable to access data

134.003,-1.53,3.68,12.56,0,0,unable to access data

134.064,1.99,6.13,8.43,0,0,unable to access data

134.124,2.45,3.83,12.41,0,0,unable to access data

134.184,0.77,4.14,8.12,0,0,unable to access data

134.244,-1.69,5.52,6.13,0,0,unable to access data

134.304,-1.99,7.35,3.06,0,0,unable to access data

134.364,-1.84,6.9,3.98,0,0,unable to access data

134.424,1.84,7.51,6.28,0,0,unable to access data

134.484,1.84,5.67,8.12,0,0,unable to access data

134.544,2.3,4.44,7.2,0,0,unable to access data

134.604,1.69,6.44,7.66,0,0,unable to access data

134.664,2.76,5.21,9.19,0,0,unable to access data

134.726,3.98,7.51,6.44,0,0,unable to access data

134.785,-0.92,5.98,4.44,0,0,unable to access data

134.845,-1.99,4.75,4.29,0,0,unable to access data

134.904,-5.82,6.13,2.45,0,0,unable to access data

134.964,-7.2,6.59,1.38,0,0,unable to access data

135.023,-11.95,7.2,0.15,0,0,unable to access data

135.084,-12.56,5.52,1.99,0,0,unable to access data

135.144,-8.89,4.29,4.75,0,0,unable to access data

135.204,-4.6,4.75,5.82,0,0,unable to access data

135.264,-2.6,4.6,9.35,0,0,unable to access data

135.324,-3.83,7.97,9.04,0,0,unable to access data

135.384,-4.6,4.44,9.81,0,0,unable to access data

135.444,-1.23,5.21,5.21,0,0,unable to access data

135.504,1.23,6.44,-0.15,0,0,unable to access data

135.564,4.75,6.28,5.98,0,0,unable to access data

135.623,3.68,5.98,10.27,0,0,unable to access data

135.683,2.91,1.84,10.42,0,0,unable to access data

135.744,4.29,2.91,13.48,0,0,unable to access data

135.806,2.76,4.29,8.27,0,0,unable to access data

135.865,1.07,4.6,8.43,0,0,unable to access data

135.925,2.15,5.52,8.73,0,0,unable to access data

135.985,2.15,4.14,9.5,0,0,unable to access data

136.044,0.15,5.82,7.2,0,0,unable to access data

136.104,-0.46,5.06,8.43,0,0,unable to access data

136.164,0.15,5.36,7.51,0,0,unable to access data

136.224,1.53,5.67,9.19,0,0,unable to access data

136.284,0.31,5.36,7.66,0,0,unable to access data

136.343,0.15,5.36,8.73,0,0,unable to access data

136.404,0.31,5.67,7.66,0,0,unable to access data

136.463,-0.31,5.36,6.13,0,0,unable to access data

136.523,1.69,5.36,10.11,0,0,unable to access data

136.584,2.15,5.06,9.35,0,0,unable to access data

136.644,1.84,4.75,9.35,0,0,unable to access data

136.704,1.69,5.21,7.81,0,0,unable to access data

136.764,2.45,6.28,7.81,0,0,unable to access data

136.824,3.06,4.9,11.19,0,0,unable to access data

136.884,3.22,7.2,11.65,0,0,unable to access data

136.944,2.45,6.13,7.66,0,0,unable to access data

137.004,0.92,4.75,7.81,0,0,unable to access data

137.064,-2.91,3.83,2.6,0,0,unable to access data

137.124,-6.59,4.9,1.84,0,0,unable to access data

137.184,-8.43,4.6,0.46,0,0,unable to access data

137.244,-10.27,-1.99,7.66,0,0,unable to access data

137.304,-8.12,1.07,5.67,0,0,unable to access data

137.363,-5.21,-0.77,7.97,0,0,unable to access data

137.423,-3.83,0.15,7.97,0,0,unable to access data

137.483,-2.91,0.61,9.96,0,0,unable to access data

137.544,-2.15,-0.31,9.96,0,0,unable to access data

137.604,-3.37,-4.9,11.49,0,0,unable to access data

137.664,-5.36,-2.91,8.58,0,0,unable to access data

137.724,0.92,-2.15,7.97,0,0,unable to access data

137.784,0.15,-3.06,10.27,0,0,unable to access data

137.844,-1.38,-2.45,9.35,0,0,unable to access data

137.904,0.46,-3.37,9.96,0,0,unable to access data

137.964,-0.31,-3.22,8.89,0,0,unable to access data

138.024,0.46,-2.15,9.65,0,0,unable to access data

138.084,2.6,-2.45,10.11,0,0,unable to access data

138.144,-0.46,-1.84,8.27,0,0,unable to access data

138.204,-2.3,-2.45,11.95,0,0,unable to access data

138.264,-3.52,-1.69,8.27,0,0,unable to access data

138.324,-2.3,-2.15,8.89,0,0,unable to access data

138.384,-1.99,-2.15,10.27,0,0,unable to access data

138.444,-3.22,-3.98,10.57,0,0,unable to access data

138.504,-1.53,-3.68,9.04,0,0,unable to access data

138.564,-1.84,-2.45,8.43,0,0,unable to access data

138.624,-2.15,-2.6,7.97,0,0,unable to access data

138.684,-3.22,-4.14,8.43,0,0,unable to access data

138.744,-3.83,-2.6,7.97,0,0,unable to access data

138.804,-3.83,-3.37,8.73,0,0,unable to access data

138.864,-2.6,-2.45,10.73,0,0,unable to access data

138.924,-5.52,-2.3,7.51,0,0,unable to access data

138.984,-3.22,-1.69,7.81,0,0,unable to access data

139.043,-4.6,-1.84,8.58,0,0,unable to access data

139.103,-3.98,-2.3,7.97,0,0,unable to access data

139.163,-4.14,0.77,9.35,0,0,unable to access data

139.224,-3.37,-1.84,10.88,0,0,unable to access data

139.284,-3.22,-0.15,8.89,0,0,unable to access data

139.344,-2.45,-3.68,7.35,0,0,unable to access data

139.406,-4.9,-1.69,7.51,0,0,unable to access data

139.465,-3.68,-2.91,8.73,0,0,unable to access data

139.525,-1.07,-2.3,10.27,0,0,unable to access data

139.584,-2.45,-2.6,10.27,0,0,unable to access data

139.643,-0.46,-1.23,10.73,0,0,unable to access data

139.704,-0.77,0.46,9.65,0,0,unable to access data

139.764,-2.45,-0.46,10.11,0,0,unable to access data

139.824,-0.92,0.31,9.81,0,0,unable to access data

