time,x-axis,y-axis,z-axis,Event1,Event2
14.923 , -0.54 , 7.96 , 5.09,0,0
14.986 , 0.42 , 7.62 , 6.24,0,0
15.048 , 0.61 , 8.040000000000001 , 6.2,0,0
15.111 , 0.5 , 7.69 , 6.16,0,0
15.173 , 1.0 , 6.8100000000000005 , 6.7,0,0
15.236 , 0.5 , 7.8500000000000005 , 5.36,0,0
15.299 , 0.61 , 7.58 , 6.16,0,0
15.361 , 0.0 , 6.890000000000001 , 7.7700000000000005,0,0
15.424 , -0.46 , 7.12 , 5.86,0,0
15.487 , -0.5700000000000001 , 7.66 , 6.51,0,0
15.549 , -0.42 , 6.43 , 8.46,0,0
15.612 , 0.31 , 5.82 , 8.38,0,0
15.675 , -0.27 , 6.390000000000001 , 6.24,0,0
15.738 , -0.11 , 7.04 , 5.9,0,0
15.801 , -0.34 , 6.8500000000000005 , 7.12,0,0
15.864 , -0.23 , 6.8100000000000005 , 6.66,0,0
15.93 , -0.11 , 7.3500000000000005 , 7.04,0,0
15.998000000000001 , 0.38 , 6.8100000000000005 , 7.46,0,0
16.061 , 0.88 , 6.01 , 7.390000000000001,0,0
16.124 , 0.8 , 6.47 , 6.8500000000000005,0,0
16.186 , 0.5700000000000001 , 7.46 , 6.7,0,0
16.249 , -0.5700000000000001 , 7.54 , 7.5,0,0
16.311 , -1.19 , 7.16 , 7.12,0,0
16.373 , -0.6900000000000001 , 6.3500000000000005 , 6.7,0,0
16.436 , -0.73 , 6.62 , 6.97,0,0
16.498 , 0.19 , 7.16 , 6.78,0,0
16.561 , 1.49 , 6.16 , 7.66,0,0
16.623 , 2.41 , 5.01 , 8.120000000000001,0,0
16.686 , 2.64 , 4.82 , 8.15,0,0
16.749 , 1.9100000000000001 , 4.71 , 8.040000000000001,0,0
16.812 , 1.0 , 4.44 , 8.84,0,0
16.875 , 0.19 , 4.1 , 9.34,0,0
16.938 , -1.19 , 4.29 , 9.26,0,0
17.001 , -1.0 , 4.5600000000000005 , 9.03,0,0
17.064 , -0.84 , 5.09 , 8.08,0,0
17.127 , -0.34 , 4.98 , 7.96,0,0
17.19 , -1.03 , 5.01 , 7.69,0,0
17.253 , -0.96 , 4.9 , 8.58,0,0
17.316 , -0.38 , 5.05 , 8.65,0,0
17.379 , -0.6900000000000001 , 5.01 , 8.77,0,0
17.442 , -0.61 , 4.5600000000000005 , 8.35,0,0
17.505 , -1.07 , 4.67 , 8.38,0,0
17.568 , -1.3 , 4.67 , 8.96,0,0
17.631 , -0.96 , 4.86 , 8.540000000000001,0,0
17.694 , -1.19 , 4.5600000000000005 , 8.5,0,0
17.757 , -1.1500000000000001 , 4.0600000000000005 , 8.46,0,0
17.82 , -0.31 , 4.29 , 8.23,0,0
17.883 , -0.04 , 4.25 , 8.23,0,0
17.946 , -0.31 , 4.25 , 8.15,0,0
18.009 , -0.5 , 4.44 , 8.42,0,0
18.072 , -0.5 , 4.9 , 8.77,0,0
18.135 , -1.61 , 5.44 , 9.26,0,0
18.198 , -0.96 , 5.05 , 8.61,0,0
18.261 , -1.26 , 4.33 , 8.120000000000001,0,0
18.324 , -0.5 , 3.25 , 8.73,0,0
18.387 , -0.46 , 2.83 , 8.92,0,0
18.45 , 0.0 , 3.25 , 10.11,0,0
18.513 , 0.42 , 3.29 , 10.64,0,0
18.576 , -0.38 , 3.1 , 8.8,0,0
18.639 , -0.77 , 3.6 , 8.27,0,0
18.702 , -1.84 , 4.5600000000000005 , 9.42,0,0
18.765 , -2.7600000000000002 , 4.59 , 8.69,0,0
18.828 , -1.72 , 4.9 , 7.8100000000000005,0,0
18.891000000000002 , -1.3 , 4.79 , 8.77,0,0
18.954 , -1.3800000000000001 , 3.87 , 8.84,0,0
19.017 , -1.57 , 3.25 , 9.23,0,0
19.081 , -0.61 , 2.83 , 8.84,0,0
19.144000000000002 , 0.08 , 3.48 , 9.42,0,0
19.207 , -0.15 , 3.79 , 8.88,0,0
19.27 , -1.22 , 3.29 , 8.040000000000001,0,0
19.333000000000002 , -2.49 , 3.48 , 9.26,0,0
19.396 , -2.5300000000000002 , 3.94 , 9.34,0,0
19.47 , -1.49 , 4.13 , 8.0,0,0
19.533 , -1.53 , 4.25 , 8.84,0,0
19.596 , -2.0300000000000002 , 3.83 , 9.53,0,0
19.659 , -0.88 , 3.37 , 8.19,0,0
19.722 , -0.46 , 4.75 , 9.38,0,0
19.785 , -1.03 , 4.44 , 9.03,0,0
19.848 , -1.26 , 3.98 , 8.15,0,0
19.911 , -1.11 , 4.21 , 8.65,0,0
19.974 , -1.6500000000000001 , 4.13 , 8.88,0,0
20.037 , -2.3000000000000003 , 3.79 , 8.58,0,0
20.1 , -2.18 , 3.33 , 8.540000000000001,0,0
20.163 , -1.3800000000000001 , 3.14 , 8.84,0,0
20.226 , -1.3 , 3.64 , 9.61,0,0
20.289 , -1.26 , 3.41 , 8.73,0,0
20.352 , -1.3 , 2.7600000000000002 , 8.46,0,0
20.415 , -1.3 , 3.22 , 9.38,0,0
20.478 , -1.26 , 4.0600000000000005 , 9.42,0,0
20.542 , -1.42 , 3.71 , 8.46,0,0
20.605 , -1.0 , 3.22 , 9.11,0,0
20.667 , -0.6900000000000001 , 3.68 , 9.99,0,0
20.73 , -1.11 , 3.68 , 8.65,0,0
20.793 , -1.72 , 3.37 , 8.27,0,0
20.856 , -1.76 , 3.29 , 9.03,0,0
20.919 , -0.92 , 3.48 , 9.3,0,0
20.982 , -0.88 , 3.52 , 8.61,0,0
21.045 , -1.84 , 3.56 , 9.11,0,0
21.108 , -2.0300000000000002 , 3.6 , 8.61,0,0
21.171 , -1.68 , 3.9 , 8.84,0,0
21.234 , -1.03 , 3.9 , 9.15,0,0
21.297 , -1.07 , 3.56 , 8.65,0,0
21.36 , -1.6500000000000001 , 3.6 , 9.23,0,0
21.423000000000002 , -1.45 , 3.56 , 8.8,0,0
21.486 , -1.0 , 3.48 , 9.3,0,0
21.549 , -1.42 , 3.48 , 8.92,0,0
21.612000000000002 , -2.14 , 3.41 , 8.69,0,0
21.675 , -2.2600000000000002 , 3.14 , 9.03,0,0
21.738 , -2.49 , 3.29 , 8.8,0,0
21.801000000000002 , -2.99 , 3.33 , 8.42,0,0
21.864 , -3.02 , 3.25 , 8.540000000000001,0,0
21.927 , -2.64 , 3.37 , 8.65,0,0
21.990000000000002 , -2.0300000000000002 , 3.68 , 8.88,0,0
22.053 , -0.23 , 3.75 , 9.61,0,0
22.116 , 0.61 , 3.79 , 8.8,0,0
22.179000000000002 , -0.34 , 3.52 , 7.43,0,0
22.243000000000002 , -2.37 , 3.71 , 9.07,0,0
22.306 , -3.33 , 3.52 , 10.6,0,0
22.369 , -1.8 , 2.87 , 8.040000000000001,0,0
22.432000000000002 , 0.23 , 3.14 , 9.03,0,0
22.495 , 1.8800000000000001 , 2.7600000000000002 , 11.41,0,0
22.558 , 0.54 , 1.95 , 9.26,0,0
22.621000000000002 , -0.5 , 2.07 , 7.58,0,0
22.684 , 0.46 , 2.83 , 8.96,0,0
22.747 , 0.96 , 3.45 , 9.91,0,0
22.81 , -0.88 , 2.87 , 8.96,0,0
22.873 , -2.72 , 2.6 , 8.61,0,0
22.936 , -3.33 , 2.56 , 8.540000000000001,0,0
23.0 , -2.11 , 3.52 , 9.65,0,0
23.062 , -0.96 , 3.79 , 9.46,0,0
23.125 , -0.34 , 3.33 , 8.88,0,0
23.188 , 0.77 , 3.1 , 10.18,0,0
23.251 , 0.92 , 3.06 , 9.57,0,0
23.314 , 0.5700000000000001 , 3.25 , 8.8,0,0
23.377 , 1.11 , 2.5300000000000002 , 9.76,0,0
23.44 , -0.08 , 2.37 , 11.14,0,0
23.503 , -2.68 , 2.64 , 9.15,0,0
23.566 , -3.45 , 2.41 , 6.62,0,0
