time,x-axis,y-axis,z-axis,Event1,Event2,latitude,longitude
29.492 , 0.77 , 2.3000000000000003 , 11.49,0,0,0.0 , 0.0
29.552 , -0.15 , 3.06 , 7.66,0,0,0.0 , 0.0
29.612000000000002 , 0.31 , 2.7600000000000002 , 10.27,0,0,0.0 , 0.0
29.672 , 0.15 , 3.83 , 6.9,0,0,0.0 , 0.0
29.732 , 0.15 , 2.7600000000000002 , 11.34,0,0,0.0 , 0.0
29.792 , 0.61 , 3.83 , 8.27,0,0,0.0 , 0.0
29.852 , 0.61 , 3.68 , 10.11,0,0,0.0 , 0.0
29.912 , 0.15 , 3.06 , 9.5,0,0,0.0 , 0.0
29.972 , 0.15 , 3.37 , 10.11,0,0,0.0 , 0.0
30.032 , 0.61 , 3.52 , 9.19,0,0,0.0 , 0.0
30.092000000000002 , 0.31 , 3.06 , 10.11,0,0,0.0 , 0.0
30.152 , -0.31 , 3.37 , 9.96,0,0,0.0 , 0.0
30.212 , 0.61 , 3.06 , 8.43,0,0,0.0 , 0.0
30.272000000000002 , 1.23 , 2.6 , 10.11,0,0,0.0 , 0.0
30.332 , 0.77 , 2.15 , 8.27,0,0,0.0 , 0.0
30.394000000000002 , 0.77 , 3.37 , 9.040000000000001,0,0,0.0 , 0.0
30.454 , 1.3800000000000001 , 3.06 , 9.19,0,0,0.0 , 0.0
30.513 , 0.92 , 3.37 , 8.58,0,0,0.0 , 0.0
30.573 , 0.92 , 2.91 , 10.88,0,0,0.0 , 0.0
30.632 , 0.46 , 3.37 , 8.43,0,0,0.0 , 0.0
30.692 , 0.31 , 3.22 , 7.2,0,0,0.0 , 0.0
30.752 , 0.31 , 1.99 , 7.51,0,0,0.0 , 0.0
30.812 , 0.46 , 4.29 , 8.27,0,0,0.0 , 0.0
30.872 , 2.45 , 1.23 , 12.26,0,0,0.0 , 0.0
30.932000000000002 , -0.77 , 3.37 , 11.65,0,0,0.0 , 0.0
30.992 , -0.61 , 2.7600000000000002 , 10.57,0,0,0.0 , 0.0
31.052 , -0.31 , 2.3000000000000003 , 10.57,0,0,0.0 , 0.0
31.112000000000002 , -0.61 , 2.6 , 8.27,0,0,0.0 , 0.0
31.172 , 0.31 , 2.6 , 8.89,0,0,0.0 , 0.0
31.232 , 0.31 , 2.6 , 9.81,0,0,0.0 , 0.0
31.292 , 0.31 , 2.7600000000000002 , 7.8100000000000005,0,0,0.0 , 0.0
31.352 , 0.46 , 1.84 , 9.96,0,0,0.0 , 0.0
31.412 , 0.92 , 3.37 , 8.73,0,0,0.0 , 0.0
31.472 , -1.53 , 1.84 , 10.42,0,0,0.0 , 0.0
31.532 , 0.77 , 2.7600000000000002 , 8.73,0,0,0.0 , 0.0
31.594 , 0.31 , 2.3000000000000003 , 8.27,0,0,0.0 , 0.0
31.654 , -0.92 , 1.3800000000000001 , 10.11,0,0,0.0 , 0.0
31.713 , 1.23 , 3.22 , 10.88,0,0,0.0 , 0.0
31.773 , -0.92 , 1.53 , 7.97,0,0,0.0 , 0.0
31.832 , 0.92 , 2.6 , 9.65,0,0,0.0 , 0.0
31.892 , -0.77 , 2.7600000000000002 , 8.58,0,0,0.0 , 0.0
31.952 , 0.31 , 1.69 , 10.57,0,0,0.0 , 0.0
