time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata

46.373,0.46,1.69,11.8,0,0,unable to access data

46.433,-0.46,3.52,8.27,0,0,unable to access data

46.493,-0.15,2.6,10.11,0,0,unable to access data

46.553,-0.15,2.45,9.81,0,0,unable to access data

46.613,-0.31,2.3,9.65,0,0,unable to access data

46.674,-0.31,2.6,9.5,0,0,unable to access data

46.734,0.46,1.53,9.35,0,0,unable to access data

46.794,0.46,1.69,9.04,0,0,unable to access data

46.854,-0.92,0.92,10.27,0,0,unable to access data

46.914,0.15,0.92,11.34,0,0,unable to access data

46.974,-1.07,1.23,9.81,0,0,unable to access data

47.034,0.15,0.92,9.65,0,0,unable to access data

47.094,0.46,1.07,9.35,0,0,unable to access data

47.154,0.61,0.77,9.81,0,0,unable to access data

47.214,0.46,1.53,9.5,0,0,unable to access data

47.274,0.77,0.77,9.04,0,0,unable to access data

47.334,0.46,1.38,9.96,0,0,unable to access data

47.394,0.31,1.53,9.35,0,0,unable to access data

47.454,0.77,1.23,9.65,0,0,unable to access data

47.514,0.77,1.69,9.04,0,0,unable to access data

47.574,1.23,1.53,9.65,0,0,unable to access data

47.634,1.38,1.23,10.73,0,0,unable to access data

47.694,0.92,1.07,10.42,0,0,unable to access data

47.753,1.38,0.77,9.65,0,0,unable to access data

47.813,-0.31,1.23,12.11,0,0,unable to access data

47.873,0.46,0.92,8.27,0,0,unable to access data

47.934,-1.23,1.84,10.11,0,0,unable to access data

47.994,-0.31,1.53,9.96,0,0,unable to access data

48.054,-1.23,2.45,9.35,0,0,unable to access data

48.114,-0.92,2.15,9.04,0,0,unable to access data

48.174,-0.46,1.84,9.65,0,0,unable to access data

48.234,-0.46,2.15,9.5,0,0,unable to access data

48.294,-0.15,1.99,9.5,0,0,unable to access data

48.354,0.15,1.99,9.5,0,0,unable to access data

48.415,0.46,1.84,9.5,0,0,unable to access data

48.474,0.46,1.69,9.65,0,0,unable to access data

48.533,0.31,1.99,9.65,0,0,unable to access data

48.594,0.31,1.99,9.5,0,0,unable to access data

48.656,0.15,1.84,9.5,0,0,unable to access data

48.715,0.15,1.99,9.65,0,0,unable to access data

48.775,-0.15,1.99,9.5,0,0,unable to access data

48.834,-0.15,1.84,9.5,0,0,unable to access data

48.895,-0.15,1.84,9.65,0,0,unable to access data

48.955,-0.15,1.99,9.5,0,0,unable to access data

49.014,-0.15,1.84,9.5,0,0,unable to access data

49.074,-0.15,1.99,9.5,0,0,unable to access data

49.134,-0.61,1.38,9.19,0,0,unable to access data

49.194,-1.38,2.76,7.97,0,0,unable to access data

49.254,-0.77,2.6,9.5,0,0,unable to access data

49.314,-1.53,3.83,9.81,0,0,unable to access data

