time,x-axis,y-axis,z-axis,Speedbreaker,Pothole
45.42,-1.73,6.47,6.7,0,0
45.498,-1.84,6.32,6.51,0,0
45.561,-1.61,6.59,6.55,0,0
45.626,-1.69,6.55,6.63,0,0
45.691,-2.03,6.59,6.63,0,0
45.755,-1.92,6.82,6.85,0,0
45.821,-1.99,6.78,6.63,0,0
45.883,-1.61,6.32,6.82,0,0
45.947,-1.84,5.94,6.55,0,0
46.013,-1.46,6.05,7.12,0,0
46.077,-0.65,5.71,6.66,0,0
46.143,0.38,4.99,7.4,0,0
46.209,0.5,4.71,8.01,0,0
46.271,1.38,4.71,8.43,0,0
46.341,1.5,3.34,8.27,0,0
46.407,1.8,2.96,6.74,0,0
46.472,2.11,1.54,6.78,0,0
46.538,3.57,1.95,6.28,0,0
46.603,2.75,0.53,7.65,0,0
46.67,3.49,0.8,8.85,0,0
46.736,2.72,-0.5,9,0,0
46.803,2.68,-1.04,8.16,0,0
46.871,2.22,-1.8,9.7,0,0
46.943,2.72,-2.49,8.5,0,0
47.011,2.87,0.19,9.19,0,0
47.072,2.56,-1.8,9.28,0,0
47.139,3.49,-1.04,7.89,0,0
47.204,4.33,-2.68,9.3,0,0
47.267,5.33,-2.37,7.46,0,0
47.331,5.52,-2.83,7.97,0,0
47.393,5.24,-2.41,6.74,0,0
47.46,5.86,-2.22,7.25,0,0
47.533,5.01,-2.26,6.93,0,0
47.601,5.48,-2.37,6.47,0,0
47.671,4.67,-2.64,6.7,0,0
47.741,5.67,-2.34,6.59,0,0
47.811,4.1,-2.53,7.86,0,0
47.875,3.57,-2.34,8.05,0,0
47.971,2.68,-2.3,8.39,0,0
48.033,2.11,-1.8,8.39,0,0
48.099,1.69,-1.8,8.5,0,0
48.16,1.61,-2.18,8.24,0,0
48.222,1.46,-2.26,9.62,0,0
48.287,0.95,-2.07,9.08,0,0
48.352,1.04,-2.03,8.96,0,0
48.417,0.95,-1.95,8.85,0,0
48.482,0.95,-1.99,8.88,0,0
48.548,0.89,-1.95,9.08,0,0
48.613,0.91,-1.99,8.81,0,0
48.681,0.91,-2.03,8.92,0,0
48.741,0.89,-2.03,9,0,0
48.805,0.91,-1.99,8.85,0,0
48.868,0.89,-1.99,8.88,0,0
48.931,0.91,-1.99,9.04,0,0
49.001,0.89,-1.99,8.85,0,0
49.073,0.91,-1.99,8.96,0,0
49.138,0.95,-1.99,8.96,0,0
49.203,0.89,-2.03,8.73,0,0
49.271,0.91,-1.99,9,0,0
49.331,0.91,-1.99,8.92,0,0
49.404,0.91,-1.99,8.81,0,0
49.471,0.91,-2.03,9,0,0
49.531,0.91,-1.95,8.81,0,0
49.591,0.89,-2.03,8.81,0,0
49.661,0.95,-1.95,9.04,0,0
49.731,0.84,-1.95,8.88,0,0
49.801,0.91,-2.03,8.96,0,0
49.871,0.91,-1.99,8.96,0,0
49.941,0.91,-1.99,8.85,0,0
50.011,0.89,-1.99,9,0,0
50.077,0.89,-1.95,8.81,0,0
50.142,0.95,-1.99,8.96,0,0
50.211,0.91,-1.99,8.92,0,0
50.283,0.91,-1.99,8.88,0,0
50.351,0.91,-1.99,9.08,0,0
50.423,0.89,-1.95,8.88,0,0
50.491,0.89,-1.99,9,0,0
50.563,0.89,-1.99,8.81,0,0
50.631,0.91,-2.03,8.92,0,0
50.691,0.89,-1.99,8.96,0,0
50.754,0.89,-1.99,8.81,0,0
50.822,0.91,-1.99,9,0,0
50.892,0.89,-2.03,8.92,0,0
50.98,0.91,-1.99,9,0,0
51.051,0.89,-1.99,8.73,0,0
51.123,0.91,-2.03,8.92,0,0
51.191,0.89,-2.03,8.77,0,0
51.253,0.91,-1.99,8.96,0,0
51.322,0.91,-1.99,8.92,0,0
51.389,0.89,-2.03,8.85,0,0
51.453,0.89,-1.95,9,0,0
51.521,0.89,-1.99,8.81,0,0
51.594,0.95,-1.99,9,0,0
51.663,0.89,-1.99,8.88,0,0
51.724,0.89,-1.99,8.85,0,0
51.789,0.91,-1.99,9,0,0
51.871,0.91,-2.03,8.88,0,0
51.932,0.89,-1.95,9,0,0
51.995,0.89,-1.95,8.92,0,0
52.058,0.91,-1.99,8.77,0,0
52.128,0.89,-1.99,9.04,0,0
52.193,0.89,-1.95,8.85,0,0
52.255,0.91,-1.99,8.77,0,0
52.323,0.89,-1.95,9.04,0,0
52.391,0.84,-1.99,8.81,0,0
52.451,0.91,-2.03,8.77,0,0
52.524,0.91,-1.95,9.04,0,0
52.591,0.89,-1.99,8.73,0,0
52.652,0.91,-1.99,8.88,0,0
52.721,0.91,-1.92,9,0,0
52.781,0.91,-1.99,8.77,0,0
52.844,0.91,-2.03,8.88,0,0
52.911,0.91,-1.99,9.08,0,0
52.99,0.91,-2.03,8.81,0,0
53.052,0.95,-1.99,9.04,0,0
53.114,0.91,-1.95,9.04,0,0
53.177,0.89,-1.99,8.73,0,0
53.242,0.95,-1.99,8.92,0,0
53.311,0.84,-1.95,8.96,0,0
53.373,0.89,-1.95,8.77,0,0
53.434,0.91,-1.99,8.85,0,0
53.497,0.89,-1.99,9.08,0,0
53.56,0.84,-1.99,8.92,0,0
53.621,0.91,-1.95,8.81,0,0
53.683,0.89,-1.95,8.96,0,0
53.752,0.91,-1.99,8.96,0,0
53.822,0.91,-1.99,8.81,0,0
53.891,0.91,-1.95,9,0,0
53.954,0.91,-1.99,8.88,0,0
54.017,0.89,-1.99,8.81,0,0
54.082,0.89,-1.99,9,0,0
54.151,0.84,-1.95,8.81,0,0
54.217,0.91,-1.99,8.85,0,0
54.282,0.91,-1.99,8.96,0,0
54.342,0.89,-1.99,8.92,0,0
54.403,0.89,-1.99,8.81,0,0
54.471,0.89,-1.92,9.04,0,0
54.543,0.89,-1.99,8.81,0,0
54.611,0.89,-1.99,8.88,0,0
54.683,0.91,-1.95,8.88,0,0
54.751,0.91,-1.99,8.77,0,0
54.823,0.89,-1.95,9,0,0
54.892,0.89,-1.99,8.69,0,0
54.961,0.91,-1.99,9,0,0
55.033,0.89,-1.99,8.73,0,0
55.101,0.91,-1.99,8.96,0,0
55.163,0.91,-1.99,9.04,0,0
55.232,0.84,-1.95,8.81,0,0
55.308,0.95,-1.95,9.08,0,0
55.373,0.89,-1.92,8.85,0,0
55.438,0.89,-1.99,8.85,0,0
55.503,0.89,-1.99,9.11,0,0
55.571,0.89,-1.95,8.81,0,0
55.631,0.89,-1.95,8.73,0,0
55.696,0.95,-1.99,9,0,0
55.759,0.89,-1.99,9,0,0
55.823,0.89,-1.95,8.77,0,0
55.891,0.91,-1.99,9.04,0,0
55.961,0.89,-1.99,8.85,0,0
56.033,0.91,-1.95,8.96,0,0
56.101,0.89,-1.95,9,0,0
56.171,0.91,-1.95,8.81,0,0
56.241,0.91,-1.95,9.08,0,0
56.311,0.89,-1.99,8.77,0,0
56.383,0.95,-1.95,8.96,0,0
56.451,0.89,-1.95,8.85,0,0
56.523,0.91,-1.95,8.85,0,0
56.591,0.95,-1.99,9,0,0
56.663,0.91,-1.95,8.81,0,0
56.735,0.89,-1.95,9.08,0,0
56.798,0.89,-1.95,9,0,0
56.861,0.89,-1.95,8.73,0,0
56.931,0.89,-1.92,9.08,0,0
57.001,0.89,-1.95,8.88,0,0
57.073,0.91,-1.95,9,0,0
57.141,0.91,-1.95,8.92,0,0
57.211,0.89,-1.99,8.81,0,0
57.281,0.91,-1.95,9.04,0,0
57.355,0.89,-1.99,8.77,0,0
57.422,0.89,-1.99,9.04,0,0
57.491,0.84,-1.99,8.81,0,0
57.555,0.91,-1.99,8.88,0,0
57.623,0.91,-1.95,9.11,0,0
57.691,0.84,-1.95,8.81,0,0
57.761,0.91,-1.99,9.08,0,0
57.829,0.84,-1.95,8.88,0,0
57.893,0.89,-1.99,8.73,0,0
57.96,0.91,-1.95,9,0,0
58.022,0.89,-1.95,9,0,0
58.084,0.89,-1.95,8.85,0,0
58.149,0.91,-1.95,8.96,0,0
58.217,0.91,-1.95,8.92,0,0
58.282,0.91,-1.99,8.81,0,0
58.351,0.95,-1.95,9.08,0,0
58.411,0.8,-1.95,9,0,0
58.476,0.89,-1.99,8.77,0,0
58.539,0.89,-1.95,8.96,0,0
58.602,0.89,-1.95,9,0,0
58.671,0.89,-1.95,8.77,0,0
58.743,0.91,-1.95,9,0,0
58.811,0.91,-1.99,8.73,0,0
58.871,0.91,-1.99,8.85,0,0
58.932,0.89,-1.95,9,0,0
59.002,0.84,-1.99,8.85,0,0
59.065,0.89,-1.99,8.85,0,0
59.127,0.89,-1.99,9.08,0,0
59.191,0.84,-1.99,8.96,0,0
59.254,0.84,-1.95,8.77,0,0
59.315,0.91,-1.95,8.88,0,0
59.382,0.89,-1.99,9,0,0
59.451,0.84,-2.03,8.81,0,0
59.523,0.91,-1.95,9.08,0,0
59.587,0.84,-1.95,8.85,0,0
59.652,0.84,-1.95,8.92,0,0
59.717,0.95,-1.99,9.04,0,0
