time,x-axis,y-axis,z-axis,Event1,Event2,latitude,longitude

62.497,0.76,3.32,9.53,0,0,0,0

62.528,0.15,3.21,9.38,0,0,0,0

62.56,-0.38,2.86,9.3,0,0,0,0

62.591,-0.3,2.79,9.22,0,0,0,0

62.623,0,2.86,9.6,0,0,0,0

62.655,0.3,2.98,9.58,0,0,0,0

62.686,0.3,2.9,9.11,0,0,0,0

62.718,0.34,2.9,8.92,0,0,0,0

62.75,0.38,2.9,9.3,0,0,0,0

62.781,0.26,2.83,9.68,0,0,0,0

62.813,0.38,2.71,9.38,0,0,0,0

62.845,0.45,2.83,9.15,0,0,0,0

62.878,0.45,2.9,9.03,0,0,0,0

62.911,0.45,2.79,9.15,0,0,0,0

62.95,0.68,2.6,9.49,0,0,0,0

62.986,0.8,2.52,9.41,0,0,0,0

63.022,0.72,2.33,9.53,0,0,0,0

63.054,0.95,2.25,9.6,0,0,0,0

63.086,1.02,2.25,9.34,0,0,0,0

63.117,0.95,2.18,9.38,0,0,0,0

63.149,0.87,1.99,9.72,0,0,0,0

63.181,0.76,1.57,9.68,0,0,0,0

63.212,0.64,1.33,10.02,0,0,0,0

63.244,1.06,1.18,9.96,0,0,0,0

63.276,1.44,1.18,9.38,0,0,0,0

63.307,1.14,0.95,9.45,0,0,0,0

63.339,0.99,0.87,9.6,0,0,0,0

63.371,0.34,0.49,10.45,0,0,0,0

63.402,0.26,0.49,9.83,0,0,0,0

63.434,0.57,0.76,9.58,0,0,0,0

63.466,0.3,0.64,10.07,0,0,0,0

63.497,0.38,0.83,9.45,0,0,0,0

63.529,0.64,0.95,9.3,0,0,0,0

63.561,0.61,0.95,9.3,0,0,0,0

63.592,0.64,1.14,9.34,0,0,0,0

63.624,0.91,1.38,9.11,0,0,0,0

63.656,0.91,1.33,9.38,0,0,0,0

63.687,0.87,1.18,10.02,0,0,0,0

63.719,0.64,1.06,9.58,0,0,0,0

63.751,0.34,1.38,9.68,0,0,0,0

63.789,0,0.91,9.72,0,0,0,0

63.823,0.03,0.83,9.96,0,0,0,0

63.863,0.38,0.87,9.92,0,0,0,0

63.895,0.64,0.91,9.45,0,0,0,0

63.932,0.61,1.02,9.58,0,0,0,0

63.964,0.61,1.06,9.6,0,0,0,0

63.995,0.49,1.1,9.68,0,0,0,0

64.027,0.53,1.18,9.6,0,0,0,0

64.059,0.61,1.38,9.72,0,0,0,0

64.091,0.8,1.61,9.87,0,0,0,0

64.124,0.95,1.76,9.68,0,0,0,0

64.163,0.87,1.99,9.34,0,0,0,0

64.2,0.99,1.99,9.34,0,0,0,0

64.238,0.91,1.87,9.22,0,0,0,0

64.269,0.8,2.1,9.81,0,0,0,0

64.301,0.91,2.06,10.11,0,0,0,0

64.332,0.8,2.1,9.96,0,0,0,0

64.364,1.06,2.41,9.03,0,0,0,0

64.396,1.23,2.67,9.11,0,0,0,0

64.427,1.1,2.67,9.34,0,0,0,0

64.459,1.14,2.67,8.92,0,0,0,0

64.491,1.23,2.48,9.3,0,0,0,0

64.522,1.48,2.41,9.77,0,0,0,0

64.554,1.44,2.83,9.96,0,0,0,0

64.586,1.38,3.02,8.99,0,0,0,0

64.617,1.91,2.52,8.8,0,0,0,0

64.649,1.29,2.75,9.11,0,0,0,0

64.681,1.23,2.41,9.53,0,0,0,0

64.712,0.83,1.99,10,0,0,0,0

64.744,0.99,2.33,9.38,0,0,0,0

64.776,1.33,2.56,8.27,0,0,0,0

64.807,1.42,2.86,8.92,0,0,0,0

64.839,1.23,2.94,9.22,0,0,0,0

64.871,0.91,2.67,9.22,0,0,0,0

64.91,0.8,2.64,8.84,0,0,0,0

64.941,0.38,2.79,7.19,0,0,0,0

64.973,1.42,1.8,8.69,0,0,0,0

65.005,1.06,1.84,9.96,0,0,0,0

65.036,0.87,1.63,9.49,0,0,0,0

65.068,0.61,1.63,9.26,0,0,0,0

65.1,0.57,1.29,9.45,0,0,0,0

65.131,0.34,2.41,10.34,0,0,0,0

65.163,0.38,2.9,9.83,0,0,0,0

65.195,0.76,2.45,8.69,0,0,0,0

65.228,0.61,2.71,8.69,0,0,0,0

65.263,0.26,2.75,9.03,0,0,0,0

65.301,0.76,2.14,8.84,0,0,0,0

65.338,1.23,2.83,9.77,0,0,0,0

65.37,1.33,2.94,9.58,0,0,0,0

65.402,0.87,2.56,9.45,0,0,0,0

65.433,0.38,2.56,10.8,0,0,0,0

65.465,0.45,2.37,10.72,0,0,0,0

65.497,0.15,2.14,9.53,0,0,0,0

65.528,0.03,2.22,8.31,0,0,0,0

65.56,0.49,2.33,9.77,0,0,0,0

65.591,0.8,1.84,10.07,0,0,0,0

65.623,0.91,1.33,10,0,0,0,0

65.655,0.38,1.91,9.87,0,0,0,0

65.686,0.61,2.14,9.45,0,0,0,0

65.718,1.02,2.18,8.77,0,0,0,0

65.749,1.25,2.41,8.16,0,0,0,0

65.781,0.07,1.99,9.81,0,0,0,0

65.813,-0.45,1.48,10.02,0,0,0,0

65.844,-0.19,1.18,10.15,0,0,0,0

65.876,0.53,1.06,9.53,0,0,0,0

65.912,0.49,1.38,9.49,0,0,0,0

65.944,0.38,1.44,9.41,0,0,0,0

65.975,0.11,1.29,10.19,0,0,0,0

66.008,-0.64,1.18,10.45,0,0,0,0

66.039,-0.99,0.45,10.22,0,0,0,0

66.071,-1.14,0.26,9.58,0,0,0,0

66.103,-0.72,0.53,8.99,0,0,0,0

66.134,-1.25,0.3,9.38,0,0,0,0

66.166,-2.79,-0.83,10.38,0,0,0,0

66.198,-1.76,0.99,10.19,0,0,0,0

66.229,-1.76,0.41,10.53,0,0,0,0

66.261,-1.61,0.53,10.34,0,0,0,0

66.295,-1.72,0.61,10.19,0,0,0,0

66.327,-2.48,0.49,10.19,0,0,0,0

66.363,-2.6,1.29,9.19,0,0,0,0

66.401,-2.6,1.95,7.76,0,0,0,0

66.438,-3.55,2.29,8.58,0,0,0,0

66.47,-4.59,2.25,8.38,0,0,0,0

66.501,-4.82,1.84,7.85,0,0,0,0

66.533,-4.44,2.1,8.12,0,0,0,0

66.564,-4.48,2.03,8.38,0,0,0,0

66.596,-5.09,1.8,8.61,0,0,0,0

66.628,-5.09,1.84,8.08,0,0,0,0

66.659,-4.32,2.18,7.46,0,0,0,0

66.691,-4.36,2.41,8,0,0,0,0

66.723,-4.7,2.22,8.65,0,0,0,0

66.754,-4.51,2.14,7.76,0,0,0,0

66.786,-3.64,1.76,9.34,0,0,0,0

66.818,-3.55,1.95,9.45,0,0,0,0

66.849,-3.02,2.03,9.07,0,0,0,0

66.881,-3.28,2.25,9.19,0,0,0,0

66.92,-3.83,2.75,8.65,0,0,0,0

66.952,-2.83,2.94,9.03,0,0,0,0

66.983,-1.63,3.06,10.11,0,0,0,0

67.015,-1.91,3.13,10.38,0,0,0,0

67.047,-2.1,3.06,11.14,0,0,0,0

67.079,-0.61,2.75,11.25,0,0,0,0

67.11,-0.22,2.9,11.14,0,0,0,0

67.142,0.49,2.75,9.92,0,0,0,0

67.174,0.91,3.26,7.85,0,0,0,0

67.205,1.87,4.13,5.2,0,0,0,0

67.237,3.02,3.98,1.95,0,0,0,0

67.269,2.14,2.06,-1.06,0,0,0,0

67.301,-0.64,1.33,3.45,0,0,0,0

67.332,2.52,0,15.35,0,0,0,0

67.364,3.26,-0.41,19.99,0,0,0,0

67.396,1.33,0.8,15.43,0,0,0,0

67.43,1.06,2.14,9.64,0,0,0,0

67.463,1.95,2.25,7.61,0,0,0,0

67.496,2.22,2.71,7.57,0,0,0,0

67.532,2.1,3.26,7.8,0,0,0,0

67.563,1.99,3.68,8.08,0,0,0,0

67.595,0.99,3.7,8,0,0,0,0

67.627,0.64,4.02,8.04,0,0,0,0

67.659,0.49,3.9,8.88,0,0,0,0

67.691,0.61,3.6,10,0,0,0,0

67.723,0.8,3.26,9.81,0,0,0,0

67.754,0.87,3.28,9.3,0,0,0,0

67.786,0.72,3.28,9.38,0,0,0,0

67.817,0.64,3.28,9.15,0,0,0,0
