time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata

28.269000000000002 s,-2.3,5.52,9.5,0,0,unable to access data

28.328 s,-1.53,5.21,8.43,0,0,unable to access data

28.388 s,-1.69,5.36,8.58,0,0,unable to access data

28.448 s,-1.69,5.21,8.27,0,0,unable to access data

28.508 s,-1.53,5.36,8.12,0,0,unable to access data

28.568 s,-1.23,5.36,7.81,0,0,unable to access data

28.629 s,-1.53,5.06,8.12,0,0,unable to access data

28.689 s,-1.38,5.06,8.12,0,0,unable to access data

28.748 s,-1.84,5.21,8.58,0,0,unable to access data

28.808 s,0.15,5.21,9.04,0,0,unable to access data

28.869 s,-2.76,5.36,8.43,0,0,unable to access data

28.929000000000002 s,-1.99,4.6,7.2,0,0,unable to access data

28.991 s,-1.99,5.67,6.74,0,0,unable to access data

29.05 s,-1.38,3.98,8.43,0,0,unable to access data

29.109 s,-1.69,4.44,8.89,0,0,unable to access data

29.169 s,-1.38,5.21,7.97,0,0,unable to access data

29.229 s,-1.69,4.75,9.04,0,0,unable to access data

29.289 s,-1.84,6.44,7.2,0,0,unable to access data

29.349 s,-1.69,4.9,8.58,0,0,unable to access data

29.409 s,-1.38,5.52,7.51,0,0,unable to access data

29.469 s,0.15,4.29,9.96,0,0,unable to access data

29.529 s,0.31,4.9,9.19,0,0,unable to access data

29.589000000000002 s,-0.61,5.67,8.58,0,0,unable to access data

29.649 s,0.15,4.6,7.97,0,0,unable to access data

29.709 s,-1.84,5.82,8.12,0,0,unable to access data

29.769000000000002 s,-0.46,4.75,8.58,0,0,unable to access data

29.829 s,-1.07,4.75,8.89,0,0,unable to access data

29.889 s,-0.77,4.6,8.58,0,0,unable to access data

29.949 s,-0.61,4.6,8.27,0,0,unable to access data

30.009 s,-0.77,5.21,7.66,0,0,unable to access data

30.069 s,-0.92,4.9,8.73,0,0,unable to access data

30.129 s,-0.92,5.06,8.43,0,0,unable to access data

30.189 s,-1.07,5.06,7.81,0,0,unable to access data

30.249000000000002 s,-1.53,5.36,8.73,0,0,unable to access data

30.309 s,-1.84,5.36,8.27,0,0,unable to access data

30.368000000000002 s,-1.23,5.06,7.97,0,0,unable to access data

30.428 s,-1.53,5.21,8.73,0,0,unable to access data

30.489 s,-1.53,5.06,8.58,0,0,unable to access data

30.549 s,-1.53,5.36,8.27,0,0,unable to access data

30.609 s,-1.69,5.52,7.81,0,0,unable to access data

30.668 s,-1.07,4.44,9.04,0,0,unable to access data

30.729 s,-1.07,4.75,7.81,0,0,unable to access data

30.789 s,-1.38,4.9,8.12,0,0,unable to access data

30.849 s,-1.99,5.52,8.58,0,0,unable to access data

30.908 s,-1.69,4.75,7.97,0,0,unable to access data

30.968 s,-1.53,4.75,8.43,0,0,unable to access data

31.028000000000002 s,-1.84,4.9,8.58,0,0,unable to access data

31.089000000000002 s,-1.69,5.06,8.43,0,0,unable to access data

31.149 s,-1.84,5.21,8.43,0,0,unable to access data

31.209 s,-1.84,4.75,8.12,0,0,unable to access data

31.269000000000002 s,-1.69,5.06,8.58,0,0,unable to access data

31.329 s,-1.53,4.75,8.12,0,0,unable to access data

31.389 s,-1.38,4.75,9.04,0,0,unable to access data

31.451 s,-1.38,4.9,8.43,0,0,unable to access data

31.51 s,-1.53,4.75,8.43,0,0,unable to access data

31.57 s,-1.69,4.9,8.58,0,0,unable to access data

31.629 s,-1.69,4.75,8.27,0,0,unable to access data

31.689 s,-1.69,4.75,8.27,0,0,unable to access data

31.749000000000002 s,-1.99,5.06,8.27,0,0,unable to access data

31.809 s,-1.84,4.6,8.43,0,0,unable to access data

31.869 s,-1.53,4.6,8.27,0,0,unable to access data

31.929000000000002 s,-1.84,4.9,8.27,0,0,unable to access data

31.989 s,-1.69,4.6,8.27,0,0,unable to access data

32.049 s,-1.84,5.06,8.43,0,0,unable to access data

32.108000000000004 s,-1.84,4.9,8.58,0,0,unable to access data

32.168 s,-1.84,4.75,8.58,0,0,unable to access data

32.228 s,-1.84,4.75,8.12,0,0,unable to access data

32.289 s,-1.84,4.44,8.43,0,0,unable to access data

32.349000000000004 s,-2.3,5.06,8.27,0,0,unable to access data

32.409 s,-1.99,4.75,8.12,0,0,unable to access data

32.469 s,-2.15,4.6,7.81,0,0,unable to access data

32.529 s,-2.91,4.6,8.73,0,0,unable to access data

32.589 s,-3.37,4.75,8.58,0,0,unable to access data

32.649 s,-2.91,4.6,7.97,0,0,unable to access data

32.709 s,-2.91,4.44,8.12,0,0,unable to access data

32.768 s,-2.6,4.29,8.43,0,0,unable to access data

32.828 s,-2.6,4.29,8.73,0,0,unable to access data

32.889 s,-2.3,4.29,8.27,0,0,unable to access data

32.949 s,-1.84,4.44,8.73,0,0,unable to access data

33.009 s,-1.69,4.14,9.04,0,0,unable to access data

33.069 s,-1.99,4.44,9.35,0,0,unable to access data

33.129 s,-1.84,3.83,9.5,0,0,unable to access data

33.189 s,-2.3,4.75,8.27,0,0,unable to access data

33.249 s,-2.6,4.44,8.27,0,0,unable to access data

33.309 s,-2.6,4.6,7.35,0,0,unable to access data

33.369 s,-1.84,4.29,7.97,0,0,unable to access data

33.429 s,-2.45,4.9,8.43,0,0,unable to access data

33.489 s,-2.15,5.36,7.66,0,0,unable to access data

33.549 s,-1.69,5.98,7.2,0,0,unable to access data

33.609 s,-2.3,4.29,10.11,0,0,unable to access data

33.669000000000004 s,-2.76,3.98,8.89,0,0,unable to access data

33.728 s,-3.22,4.29,7.05,0,0,unable to access data

33.788000000000004 s,-3.06,4.6,7.05,0,0,unable to access data

33.848 s,-2.3,4.14,8.58,0,0,unable to access data

33.909 s,-2.6,4.9,8.73,0,0,unable to access data

33.969 s,-1.99,5.06,8.58,0,0,unable to access data

34.029 s,-1.84,5.06,8.43,0,0,unable to access data

34.089 s,-2.15,4.75,8.89,0,0,unable to access data

34.149 s,-1.99,4.44,9.04,0,0,unable to access data

34.209 s,-1.69,4.6,8.12,0,0,unable to access data

34.269 s,-1.99,4.6,7.81,0,0,unable to access data

34.329 s,-2.45,4.75,8.12,0,0,unable to access data

34.389 s,-2.3,4.75,8.43,0,0,unable to access data

34.449 s,-2.6,4.6,8.58,0,0,unable to access data

34.509 s,-2.6,4.9,7.97,0,0,unable to access data

34.569 s,-2.15,4.75,8.12,0,0,unable to access data

34.629 s,-2.3,4.9,8.27,0,0,unable to access data

34.689 s,-1.99,4.44,8.58,0,0,unable to access data

34.749 s,-1.53,4.9,7.97,0,0,unable to access data

34.809 s,-1.23,4.6,8.89,0,0,unable to access data

34.869 s,-1.99,5.06,8.43,0,0,unable to access data

34.929 s,-1.69,4.6,8.89,0,0,unable to access data

34.989 s,-1.69,4.75,8.58,0,0,unable to access data

35.049 s,-2.45,4.44,9.65,0,0,unable to access data

35.109 s,-4.29,4.6,7.51,0,0,unable to access data

35.169000000000004 s,-3.98,4.9,6.74,0,0,unable to access data

35.229 s,-4.9,4.75,6.74,0,0,unable to access data

35.289 s,-5.36,4.44,5.98,0,0,unable to access data

35.348 s,-5.06,4.29,5.52,0,0,unable to access data

35.408 s,-5.06,3.98,6.59,0,0,unable to access data

35.468 s,-5.21,3.52,7.66,0,0,unable to access data

35.529 s,-4.9,3.52,7.05,0,0,unable to access data

35.589 s,-5.67,2.76,7.66,0,0,unable to access data

35.649 s,-5.82,2.15,7.51,0,0,unable to access data

35.709 s,-6.13,2.45,5.98,0,0,unable to access data

35.769 s,-6.44,2.76,6.74,0,0,unable to access data

35.829 s,-5.98,1.38,8.58,0,0,unable to access data

35.889 s,-6.44,3.37,7.35,0,0,unable to access data

35.949 s,-5.82,2.6,8.12,0,0,unable to access data

36.009 s,-5.21,2.76,7.2,0,0,unable to access data

36.069 s,-5.21,3.37,7.2,0,0,unable to access data

36.129 s,-5.06,3.52,7.66,0,0,unable to access data

36.189 s,-5.67,3.37,8.43,0,0,unable to access data

36.249 s,-5.67,3.22,7.81,0,0,unable to access data

36.309 s,-5.82,3.68,7.66,0,0,unable to access data

36.369 s,-4.6,3.22,8.12,0,0,unable to access data

36.429 s,-4.75,2.76,8.43,0,0,unable to access data

36.489 s,-4.29,2.6,9.04,0,0,unable to access data

36.549 s,-4.14,3.06,8.12,0,0,unable to access data

36.608000000000004 s,-4.14,3.06,7.97,0,0,unable to access data

36.668 s,-4.44,3.06,7.81,0,0,unable to access data

36.729 s,-4.44,3.06,7.81,0,0,unable to access data

36.789 s,-4.14,3.22,8.12,0,0,unable to access data

36.849000000000004 s,-3.98,3.06,8.73,0,0,unable to access data

36.909 s,-4.44,3.37,8.73,0,0,unable to access data

36.969 s,-4.29,3.37,8.12,0,0,unable to access data

37.028 s,-4.44,3.37,7.97,0,0,unable to access data

37.088 s,-4.44,3.52,8.27,0,0,unable to access data

37.149 s,-4.14,3.52,7.97,0,0,unable to access data

37.209 s,-3.98,3.37,8.27,0,0,unable to access data

37.269 s,-3.98,3.37,8.12,0,0,unable to access data

37.329 s,-4.29,3.52,8.27,0,0,unable to access data

37.389 s,-4.29,3.37,8.12,0,0,unable to access data

37.449 s,-4.44,3.37,8.12,0,0,unable to access data

37.509 s,-4.14,3.37,8.12,0,0,unable to access data

37.569 s,-3.98,3.37,8.43,0,0,unable to access data

37.629 s,-3.98,3.22,8.43,0,0,unable to access data

37.689 s,-4.14,3.37,8.12,0,0,unable to access data

