time,x-axis,y-axis,z-axis,Event1,Event2,latitude,longitude
40.659,0.07,2.67,9.34,0,0,0,0

40.691,-0.07,2.48,9.58,0,0,0,0

40.723,-0.3,2.29,9.83,0,0,0,0

40.754,-0.07,2.14,8.92,0,0,0,0

40.786,-0.11,2.45,9.53,0,0,0,0

40.818,-0.19,2.45,9.49,0,0,0,0

40.851,0.03,2.48,9.38,0,0,0,0

40.89,-0.22,2.37,9.6,0,0,0,0

40.93,-0.41,2.18,9.45,0,0,0,0

40.961,-0.38,2.14,9.26,0,0,0,0

40.993,-0.49,2.29,9.83,0,0,0,0

41.025,-0.41,2.25,9.53,0,0,0,0

41.057,-0.15,2.33,9.41,0,0,0,0

41.089,-0.3,2.37,9.34,0,0,0,0

41.121,-0.3,2.67,9.58,0,0,0,0

41.157,0.07,2.56,9.11,0,0,0,0

41.19,-0.03,2.64,10.19,0,0,0,0

41.228,0.07,2.37,9.72,0,0,0,0

41.26,-0.11,2.48,8.99,0,0,0,0

41.297,-0.19,2.64,9.26,0,0,0,0

41.329,-0.11,2.56,9.41,0,0,0,0

41.361,-0.19,2.45,9.58,0,0,0,0

41.393,-0.19,2.41,9.49,0,0,0,0

41.425,-0.03,2.52,9.77,0,0,0,0

41.456,0.03,2.52,9.68,0,0,0,0

41.488,0.11,2.45,9.45,0,0,0,0

41.519,0.19,2.56,9.38,0,0,0,0

41.551,0.26,2.64,9.26,0,0,0,0

41.583,0.19,2.48,9.38,0,0,0,0

41.615,0.11,2.41,9.19,0,0,0,0

41.651,0.11,2.56,9.41,0,0,0,0

41.69,0.11,2.64,9.64,0,0,0,0

41.727,0.22,2.67,9.68,0,0,0,0

41.76,0.15,2.64,9.64,0,0,0,0

41.798,0.15,2.67,9.3,0,0,0,0

41.83,0.15,2.83,9.03,0,0,0,0

41.862,0.11,2.98,8.92,0,0,0,0

41.893,0.03,3.13,9.15,0,0,0,0

41.925,0.11,3.17,9.49,0,0,0,0

41.956,0.22,3.06,9.53,0,0,0,0

41.988,0,3.13,9.68,0,0,0,0

42.02,-0.11,2.98,9.49,0,0,0,0

42.052,-0.26,2.94,9.34,0,0,0,0

42.084,-0.22,2.94,9.22,0,0,0,0

42.115,-0.22,2.9,9.3,0,0,0,0

42.147,-0.19,2.79,9.26,0,0,0,0

42.178,-0.22,2.86,9.15,0,0,0,0

42.21,-0.11,3.21,8.88,0,0,0,0

42.242,-0.3,3.45,9.53,0,0,0,0

42.274,-0.45,3.17,10.02,0,0,0,0

42.305,-0.38,3.21,10.34,0,0,0,0

42.337,-0.61,3.64,9.87,0,0,0,0

42.369,-0.34,3.68,8.65,0,0,0,0

42.401,-0.22,3.75,8.16,0,0,0,0

42.433,-0.57,3.94,8.38,0,0,0,0

42.465,-0.87,3.87,8.31,0,0,0,0

42.497,-1.1,4.06,8.27,0,0,0,0

42.528,-1.18,4.25,8.84,0,0,0,0

42.56,-1.1,4.09,9.15,0,0,0,0

42.592,-1.18,3.98,9.49,0,0,0,0

42.624,-1.18,3.98,9.22,0,0,0,0

42.655,-1.02,3.87,9.22,0,0,0,0

42.687,-0.91,3.41,9.58,0,0,0,0

42.72,-0.87,3.06,9.15,0,0,0,0

42.759,-0.87,3.28,8.61,0,0,0,0

42.797,-0.68,3.55,8.8,0,0,0,0

42.836,-0.91,3.55,9.03,0,0,0,0

42.867,-1.18,3.55,9.11,0,0,0,0

42.899,-1.68,3.7,9.26,0,0,0,0

42.932,-2.22,3.94,8.88,0,0,0,0

42.964,-2.45,4.29,8.99,0,0,0,0

42.995,-2.48,4.29,9.68,0,0,0,0

43.027,-2.18,3.9,10.11,0,0,0,0

43.059,-1.95,3.47,9.92,0,0,0,0

43.09,-1.87,3.32,9.72,0,0,0,0

43.122,-1.61,3.21,9.15,0,0,0,0

43.154,-1.14,2.98,8.69,0,0,0,0

43.185,-1.29,2.98,8.8,0,0,0,0

43.217,-1.25,3.06,8.61,0,0,0,0

43.249,-1.29,3.26,8.77,0,0,0,0

43.281,-1.44,3.41,8.84,0,0,0,0

43.312,-1.72,3.64,8.54,0,0,0,0

43.344,-1.99,3.87,8.58,0,0,0,0

43.376,-2.14,3.87,8.69,0,0,0,0

43.407,-2.41,3.7,9.34,0,0,0,0

43.439,-2.67,3.51,10.19,0,0,0,0

