time,x-axis,y-axis,z-axis,Speedbreaker,Pothole
17.062,0.08,7.01,7.04,0,0
17.139,0,6.78,6.4,0,0
17.203,0.27,6.89,6.09,0,0
17.272,-0.04,7.01,6.59,0,0
17.342,-0.15,6.66,6.85,0,0
17.409,-0.19,6.47,6.74,0,0
17.478,0.23,6.63,7.01,0,0
17.539,0.53,6.82,6.63,0,0
17.618,0.19,6.13,7.25,0,0
17.683,0.15,5.83,7.59,0,0
17.751,0.53,6.02,7.12,0,0
17.823,0.61,6.09,7.31,0,0
17.893,0.3,5.28,7.27,0,0
17.957,0.38,4.4,7.93,0,0
18.02,0.23,4.67,7.78,0,0
18.08,0.5,4.48,8.85,0,0
18.146,0.84,4.02,8.66,0,0
18.213,0.8,3.64,9.04,0,0
18.281,0.8,3.79,9.04,0,0
18.35,0.61,3.68,8.58,0,0
18.412,0.34,3.57,8.69,0,0
18.482,0.27,3.68,9.04,0,0
18.547,0.27,3.68,9.15,0,0
18.612,0.5,3.6,9.23,0,0
18.679,0.15,3.26,9.19,0,0
18.743,0.3,3.26,9.66,0,0
18.811,0.46,3.15,9.66,0,0
18.871,0.3,3.06,9.49,0,0
18.941,0.23,3.11,9.28,0,0
19.007,0.23,2.96,9.7,0,0
19.068,0.11,3.02,9.3,0,0
19.133,0.57,3.21,9.47,0,0
19.201,0.19,3.06,9.23,0,0
19.272,0.04,3.11,9.81,0,0
19.342,0,3.15,9.85,0,0
19.408,0,3.53,8.69,0,0
19.474,-0.04,3.57,9.34,0,0
19.539,-0.27,3.72,10.04,0,0
19.604,-0.11,3.91,10.69,0,0
19.669,0.69,4.37,9.85,0,0
19.734,0.5,3.83,6.78,0,0
19.803,0,3.06,4.56,0,0
19.87,-0.84,3.79,3.72,0,0
19.932,-0.8,5.56,5.48,0,0
20.002,0.95,7.01,8.77,0,0
20.074,-0.99,7.86,7.89,0,0
20.142,-0.8,5.18,12.76,0,0
20.201,0.34,3.91,12.53,0,0
20.263,0.65,3.15,8.96,0,0
20.332,0.38,2.07,4.71,0,0
20.394,0.34,1.73,4.1,0,0
20.464,1.69,3.79,4.71,0,0
20.528,1.53,5.94,7.25,0,0
20.593,2.64,6.78,9.47,0,0
20.662,1.33,8.35,7.5,0,0
20.723,1.33,8.16,7.93,0,0
20.784,1.23,7.46,7.97,0,0
20.852,0.08,6.02,6.63,0,0
20.922,0.38,4.75,6.17,0,0
20.988,0.89,4.33,6.89,0,0
21.054,1.84,4.29,7.63,0,0
21.122,1.04,4.99,6.55,0,0
21.192,1.88,4.21,7.21,0,0
21.261,1.99,3.76,8.31,0,0
21.332,2.6,3.34,8.24,0,0
21.402,2.83,5.63,7.89,0,0
21.469,1.84,3.83,10.38,0,0
21.533,1.84,4.67,8.16,0,0
21.601,3.06,3.99,8.92,0,0
21.672,3.26,2.37,6.28,0,0
21.747,4.14,1.33,7.74,0,0
21.813,5.2,1.04,8.88,0,0
27.821,0.91,-0.84,9.3,0,0
27.889,-0.34,-0.23,6.36,0,0
27.954,-1.04,-0.23,4.79,0,0
28.449,-0.72,-1.14,8.92,0,0
28.511,-0.57,-0.8,8.66,0,0
28.571,0.42,0.23,9.11,0,0
28.634,0.5,0.31,7.7,0,0
28.701,-0.19,0.46,8.08,0,0
28.761,0.91,0.95,9.43,0,0
28.832,0.95,0.57,9.77,0,0
28.898,1.18,1.08,10.19,0,0
28.963,0.38,0.89,9.77,0,0
29.022,0.91,0.42,9.58,0,0
29.59,0.69,5.83,5.37,0,0
29.755,0.46,3.91,9.3,0,0
29.828,2.45,3.41,8.81,0,0
29.987,-1.76,5.22,9.23,0,0
30.052,-1.73,4.37,7.31,0,0
30.121,-1.42,6.28,8.73,0,0
30.185,-1.23,4.44,6.82,0,0
30.252,-1.57,5.41,7.55,0,0
30.313,-2.41,4.75,7.31,0,0
30.495,-2.64,4.82,8.16,0,0
30.561,-3.53,5.01,8.35,0,0
30.623,-2.76,4.18,7.16,0,0
30.695,-2.79,4.82,8.31,0,0
30.765,-2.53,4.67,7.65,0,0
30.832,-2.11,4.29,7.65,0,0
30.899,-1.99,4.82,8.92,0,0
30.967,-2.18,5.01,8.27,0,0
31.033,-1.99,4.79,7.74,0,0
31.101,-1.8,4.48,8.16,0,0
31.162,-2.11,4.52,7.7,0,0
31.231,-2.15,4.75,7.63,0,0
31.307,-1.84,4.79,7.78,0,0
31.373,-1.99,4.67,7.78,0,0
31.55,-1.88,4.37,7.89,0,0
31.621,-1.73,4.25,7.7,0,0
31.691,-1.8,4.71,8.2,0,0
31.767,-2.07,4.4,7.82,0,0
31.832,-2.07,4.21,7.97,0,0
31.9,-2.03,5.13,8.08,0,0
31.962,-1.99,5.22,7.12,0,0
32.031,-2.11,5.13,7.93,0,0
32.096,-2.03,4.94,7.46,0,0
32.163,-1.8,5.6,8.47,0,0
32.231,-1.61,4.52,7.65,0,0
32.295,-1.54,4.1,8.12,0,0
32.358,-2.03,4.33,8.16,0,0
32.425,-1.88,4.4,8.27,0,0
32.493,-2.3,4.18,8.08,0,0
32.557,-2.11,4.33,7.63,0,0
32.624,-1.8,5.01,8.92,0,0
32.689,-1.42,4.1,7.65,0,0
32.754,-2.26,4.52,8.81,0,0
32.827,-2.07,4.21,7.25,0,0
32.894,-1.57,4.29,7.65,0,0
32.962,-2.83,4.79,8.62,0,0
33.031,-1.92,4.29,8.35,0,0
33.097,-1.69,3.79,7.08,0,0
33.167,-1.54,4.18,7.93,0,0
33.233,-2.03,4.02,8.16,0,0
33.293,-2.18,4.18,7.78,0,0
33.358,-2.22,4.25,8.58,0,0
33.421,-2.87,4.18,7.59,0,0
33.493,-1.99,4.25,7.35,0,0
33.566,-1.92,4.25,7.27,0,0
33.629,-2.56,5.01,9.15,0,0
33.691,-1.92,4.1,7.16,0,0
33.756,-1.99,4.37,8.16,0,0
33.821,-2.37,4.18,8.43,0,0
33.891,-2.26,3.79,7.86,0,0
33.956,-1.99,4.44,8.16,0,0
34.024,-1.99,4.14,7.5,0,0
34.088,-2.41,4.6,8.58,0,0
34.152,-2.56,4.44,8.39,0,0
34.223,-2.6,4.37,8.12,0,0
34.292,-2.98,4.52,7.97,0,0
34.362,-2.91,4.6,7.59,0,0
34.431,-2.91,4.37,8.08,0,0
34.502,-3.02,4.21,7.93,0,0
34.572,-3.3,4.33,7.46,0,0
34.641,-3.34,4.14,7.59,0,0
34.71,-3.17,3.99,7.82,0,0
34.771,-3.11,4.14,8.27,0,0
34.83,-3.06,3.95,8.5,0,0
34.892,-3.15,3.6,7.86,0,0
34.961,-3.45,4.25,8.35,0,0
35.032,-3.26,4.02,8.31,0,0
35.101,-3.53,4.06,8.01,0,0
35.165,-3.15,3.95,7.21,0,0
35.232,-3.15,4.63,8.62,0,0
35.302,-3.72,4.37,8.43,0,0
35.373,-3.38,3.64,6.93,0,0
35.448,-4.02,4.29,8.39,0,0
35.628,-4.06,4.6,8.92,0,0
35.694,-4.4,4.4,7.82,0,0
35.762,-4.02,4.21,7.01,0,0
35.841,-2.79,4.33,7.12,0,0
35.901,-3.57,4.9,8.12,0,0
35.969,-4.56,4.48,7.59,0,0
36.033,-3.72,4.29,7.7,0,0
36.1,-3.57,4.79,9.28,0,0
36.162,-2.37,3.3,6.36,0,0
36.225,-2.83,3.83,8.08,0,0
36.292,-4.56,4.6,10.15,0,0
36.363,-3.83,3.83,7.16,0,0
36.43,-2.26,4.18,8.35,0,0
36.493,-2.41,4.29,9.34,0,0
36.561,-3.38,2.98,6.93,0,0
36.632,-4.75,3.53,6.43,0,0
36.7,-4.4,5.33,8.77,0,0
36.764,-2.96,4.56,8.31,0,0
36.831,-3.15,3.91,6.55,0,0
37.014,-3.3,2.53,10.08,0,0
37.081,-4.14,2.37,2.72,0,0
37.157,-2.6,4.14,10.95,0,0
37.225,-1.76,3.45,8.85,0,0
37.286,-2.91,3.15,7.5,0,0
37.357,-2.91,3.76,9.23,0,0
37.422,-1.5,2.87,9.62,0,0
37.485,-2.53,2.18,8.66,0,0
37.554,-2.56,2.91,8.35,0,0
37.622,-1.88,2.96,9.3,0,0
37.692,-2.3,2.15,10.23,0,0
37.761,-2.91,1.99,10.19,0,0
37.832,-2.41,1.95,9.15,0,0
37.902,-2.15,2.26,8.35,0,0
38.113,-0.61,0.95,11.11,0,0
38.312,-0.69,2.3,1.23,1,0
38.5,-2.6,5.41,9.77,1,0
38.834,-1.92,2.07,4.33,1,0
38.904,-2.18,1.69,5.48,1,0
38.971,-3.49,2.22,8.05,1,0
39.127,-0.11,6.02,9.85,1,0
39.327,-2.68,4.48,7.4,1,0
39.393,-1.12,2.64,8.62,1,0
39.573,-1.92,6.32,7.78,1,0
39.754,-2.53,4.99,11.45,0,0
39.819,-1.27,5.24,7.21,0,0
39.884,-2.64,7.31,7.35,0,0
39.951,-2.07,5.01,5.94,0,0
40.012,-1.76,3.99,7.89,0,0
40.082,-0.89,5.28,6.51,0,0
40.15,-1.57,7.21,7.97,0,0
40.212,-1.69,5.75,6.78,0,0
40.282,-0.99,4.63,8.43,0,0
40.341,-1.33,5.41,8.47,0,0
40.41,-2.56,6.36,7.65,0,0
40.484,-2.87,5.09,6.74,0,0
40.551,-2.56,4.37,6.93,0,0
40.621,-1.99,5.48,7.59,0,0
40.692,-1.69,5.9,6.93,0,0
40.761,-1.84,6.05,7.82,0,0
40.822,-2.15,5.24,6.93,0,0
40.887,-1.88,5.79,7.46,0,0
40.953,-2.07,5.67,6.97,0,0
41.022,-2.03,5.41,8.12,0,0
41.084,-1.95,4.9,7.16,0,0
41.146,-1.99,5.43,7.12,0,0
41.211,-2.41,5.71,7.16,0,0
41.272,-2.26,5.43,7.7,0,0
41.342,-1.92,5.71,8.16,0,0
41.411,-1.61,5.33,6.97,0,0
41.475,-1.95,5.37,7.97,0,0
41.538,-1.65,5.22,7.65,0,0
41.602,-1.42,5.05,7.86,0,0
41.671,-2.03,5.13,7.16,0,0
41.742,-2.91,5.86,8.12,0,0
41.821,-1.46,5.13,7.65,0,0
41.884,-0.99,4.79,7.04,0,0
41.953,-1.65,5.48,7.93,0,0
42.022,-2.41,5.13,6.97,0,0
42.092,-2.26,5.71,8.47,0,0
42.157,-0.95,5.09,8.08,0,0
42.223,-1.92,4.94,7.78,0,0
42.291,-2.03,4.99,7.93,0,0
42.362,-1.8,5.18,7.63,0,0
42.431,-0.95,5.13,7.7,0,0
42.51,-2.53,6.02,8.12,0,0
42.574,-1.95,5.6,8.24,0,0
42.639,-1.18,4.99,8.01,0,0
42.796,-1.84,4.67,6.78,0,0
42.866,-2.03,4.82,8.88,0,0
42.933,-2.26,4.82,8.16,0,0
43.001,-1.92,4.06,5.71,0,0
43.061,-2.07,4.67,6.59,0,0
