time,x-axis,y-axis,z-axis,Event1,Event2
32.609 , -0.77 , 5.55 , 7.92,0,0
32.672000000000004 , -0.92 , 5.32 , 7.8100000000000005,0,0
32.734 , -0.88 , 5.24 , 7.890000000000001,0,0
32.797000000000004 , -0.96 , 5.36 , 7.8100000000000005,0,0
32.86 , -1.03 , 5.36 , 7.92,0,0
32.929 , -1.19 , 5.47 , 7.890000000000001,0,0
32.992 , -1.0 , 5.36 , 8.08,0,0
33.061 , -0.38 , 5.4 , 8.040000000000001,0,0
33.13 , -0.31 , 5.51 , 7.96,0,0
33.193 , -0.34 , 5.44 , 8.0,0,0
33.255 , -0.38 , 5.17 , 8.15,0,0
33.318 , -0.84 , 5.17 , 7.8500000000000005,0,0
33.381 , -1.07 , 5.01 , 8.0,0,0
33.444 , -0.6900000000000001 , 4.82 , 8.35,0,0
33.506 , -1.19 , 4.9 , 8.5,0,0
33.569 , -0.8 , 4.59 , 8.35,0,0
33.632 , -0.92 , 4.21 , 8.77,0,0
33.695 , -0.04 , 3.71 , 9.76,0,0
33.757 , 0.0 , 4.25 , 8.540000000000001,0,0
33.82 , -0.23 , 4.36 , 8.15,0,0
33.883 , -0.5700000000000001 , 4.5600000000000005 , 8.08,0,0
33.946 , -0.6900000000000001 , 4.33 , 8.23,0,0
34.009 , -0.5700000000000001 , 4.36 , 8.35,0,0
34.072 , -0.61 , 4.63 , 8.27,0,0
34.135 , -0.5 , 4.59 , 8.8,0,0
34.198 , -0.23 , 4.4 , 8.65,0,0
34.261 , -0.73 , 4.75 , 8.38,0,0
34.324 , -0.5700000000000001 , 4.59 , 8.61,0,0
34.387 , -0.8 , 4.5600000000000005 , 8.35,0,0
34.45 , -0.8 , 4.44 , 8.46,0,0
34.514 , -0.77 , 4.4 , 8.35,0,0
34.577 , -0.8 , 4.5600000000000005 , 8.5,0,0
34.64 , -0.6900000000000001 , 4.5600000000000005 , 8.5,0,0
34.703 , -0.8 , 4.63 , 8.65,0,0
34.766 , -0.38 , 4.36 , 8.77,0,0
34.829 , -0.34 , 4.44 , 8.120000000000001,0,0
34.892 , -0.27 , 4.9 , 8.31,0,0
