time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata,

33.386 s,0.46,2.76,8.89,0,0,unable to access data,

33.412 s,0.61,2.6,8.89,0,0,unable to access data,

33.428 s,0.31,2.15,9.35,0,0,unable to access data,

33.448 s,0.31,2.15,9.35,0,0,unable to access data,

33.468 s,0.31,2.3,9.19,0,0,unable to access data,

33.488 s,0.15,2.15,9.04,0,0,unable to access data,

33.508 s,0.15,2.15,9.04,0,0,unable to access data,

33.528 s,0.15,1.99,9.35,0,0,unable to access data,

33.548 s,0.15,1.99,9.35,0,0,unable to access data,

33.568 s,0.46,1.99,9.35,0,0,unable to access data,

33.588 s,0.31,1.99,9.35,0,0,unable to access data,

33.608000000000004 s,0.31,1.99,9.35,0,0,unable to access data,

33.628 s,0.46,2.3,8.89,0,0,unable to access data,

33.65 s,0.46,2.45,9.19,0,0,unable to access data,

33.668 s,0.46,2.45,9.19,0,0,unable to access data,

33.688 s,0.15,2.3,9.04,0,0,unable to access data,

33.708 s,0.15,2.3,9.04,0,0,unable to access data,

33.728 s,-0.15,1.84,9.19,0,0,unable to access data,

33.748 s,-0.15,2.15,8.89,0,0,unable to access data,

33.768 s,-0.15,2.15,8.89,0,0,unable to access data,

33.788000000000004 s,-0.15,2.45,9.04,0,0,unable to access data,

33.808 s,-0.15,1.99,9.04,0,0,unable to access data,

33.828 s,-0.15,1.99,9.04,0,0,unable to access data,

33.848 s,-0.77,1.53,9.65,0,0,unable to access data,

33.868 s,-0.77,1.53,9.65,0,0,unable to access data,

33.888 s,-0.31,1.84,8.89,0,0,unable to access data,

33.908 s,0.46,1.84,8.73,0,0,unable to access data,

33.928 s,0.46,1.84,8.73,0,0,unable to access data,

33.948 s,-0.46,1.84,10.11,0,0,unable to access data,

33.968 s,-0.46,1.84,10.11,0,0,unable to access data,

33.988 s,-0.31,1.69,9.5,0,0,unable to access data,

34.008 s,0.46,1.38,8.89,0,0,unable to access data,

34.028 s,0.46,1.38,8.89,0,0,unable to access data,

34.048 s,-0.15,1.84,10.11,0,0,unable to access data,

