time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata
32.589 s, 1.84 , 5.55 , 7.8500000000000005,0,0,28.57958104,77.21447182
32.619 s, 1.61 , 5.28 , 8.0,0,0,28.57958104,77.21447182
32.65 s, 1.84 , 5.59 , 7.92,0,0,28.57958104,77.21447182
32.68 s, 2.07 , 5.63 , 8.27,0,0,28.57958104,77.21447182
32.711 s, 1.57 , 5.09 , 8.15,0,0,28.57958104,77.21447182
32.741 s, 1.3 , 5.32 , 8.38,0,0,28.57958104,77.21447182
32.772 s, 1.26 , 5.13 , 8.77,0,0,28.57958104,77.21447182
32.802 s, 1.57 , 4.4 , 8.61,0,0,28.57958104,77.21447182
32.833 s, 1.3800000000000001 , 4.94 , 8.8,0,0,28.57958104,77.21447182
32.864 s, 1.76 , 5.32 , 9.46,0,0,28.57958104,77.21447182
32.894 s, 1.42 , 4.94 , 8.42,0,0,28.57958104,77.21447182
32.945 s, 0.42 , 5.17 , 8.42,0,0,28.57958104,77.21447182
32.976 s, -0.19 , 4.71 , 6.97,0,0,28.57958104,77.21447182
33.006 s, -0.11 , 4.0200000000000005 , 8.65,0,0,28.57958104,77.21447182
33.037 s, 0.27 , 3.6 , 9.57,0,0,28.57958104,77.21447182
33.067 s, -0.11 , 3.29 , 9.19,0,0,28.57958104,77.21447182
33.098 s, -0.04 , 2.22 , 9.65,0,0,28.57958104,77.21447182
33.128 s, -0.23 , 2.5300000000000002 , 9.11,0,0,28.57958104,77.21447182
33.159 s, 0.08 , 4.17 , 7.96,0,0,28.57958104,77.21447182
33.19 s, 0.27 , 4.21 , 9.3,0,0,28.57958104,77.21447182
33.221000000000004 s, 0.42 , 3.6 , 9.61,0,0,28.57958104,77.21447182
33.251 s, 0.19 , 4.17 , 8.27,0,0,28.57958104,77.21447182
33.282000000000004 s, 0.88 , 5.24 , 9.19,0,0,28.57958104,77.21447182
33.312 s, 0.96 , 5.05 , 9.23,0,0,28.57958104,77.21447182
33.343 s, 0.38 , 4.79 , 7.8100000000000005,0,0,28.57958104,77.21447182
33.373 s, 0.46 , 4.94 , 8.5,0,0,28.57958104,77.21447182
33.404 s, 0.8 , 5.28 , 8.23,0,0,28.57958104,77.21447182
33.434 s, 0.6900000000000001 , 5.32 , 7.43,0,0,28.57958104,77.21447182
33.465 s, 0.5 , 5.01 , 7.8100000000000005,0,0,28.57958104,77.21447182
33.495 s, 0.54 , 4.79 , 8.31,0,0,28.57958104,77.21447182
33.526 s, 0.65 , 5.01 , 8.19,0,0,28.57958104,77.21447182
33.556 s, 0.61 , 4.98 , 8.38,0,0,28.57958104,77.21447182
33.587 s, 0.46 , 4.5600000000000005 , 9.15,0,0,28.57958104,77.21447182
33.617 s, 0.5700000000000001 , 4.94 , 8.27,0,0,28.57958104,77.21447182
33.648 s, 0.6900000000000001 , 5.44 , 7.92,0,0,28.57958104,77.21447182
33.678 s, 0.54 , 5.13 , 8.27,0,0,28.57958104,77.21447182
33.709 s, 0.54 , 4.98 , 8.27,0,0,28.57958104,77.21447182
33.74 s, 0.5700000000000001 , 5.13 , 8.0,0,0,28.57958104,77.21447182
33.77 s, 0.5700000000000001 , 5.17 , 7.890000000000001,0,0,28.57958104,77.21447182
33.801 s, 0.5 , 4.98 , 8.19,0,0,28.57958104,77.21447182
33.831 s, 0.5700000000000001 , 5.01 , 8.77,0,0,28.57958104,77.21447182
33.862 s, 0.8 , 5.13 , 8.84,0,0,28.57958104,77.21447182
33.893 s, 0.84 , 5.05 , 8.58,0,0,28.57958104,77.21447182
33.923 s, 0.8 , 4.79 , 8.27,0,0,28.57958104,77.21447182
33.954 s, 0.88 , 4.94 , 8.92,0,0,28.57958104,77.21447182
33.985 s, 1.11 , 4.79 , 9.34,0,0,28.57958104,77.21447182
34.015 s, 0.96 , 4.48 , 8.58,0,0,28.57958104,77.21447182
34.046 s, 0.96 , 4.36 , 8.08,0,0,28.57958104,77.21447182
34.076 s, 1.42 , 4.63 , 9.65,0,0,28.57958104,77.21447182
34.107 s, 1.1500000000000001 , 4.25 , 8.8,0,0,28.57958104,77.21447182
34.137 s, 0.61 , 5.09 , 7.12,0,0,28.57958104,77.21447182
34.168 s, 0.46 , 5.74 , 7.8500000000000005,0,0,28.57958104,77.21447182
34.198 s, 0.34 , 5.28 , 7.92,0,0,28.57958104,77.21447182
34.231 s, 0.61 , 5.74 , 7.8500000000000005,0,0,28.57958104,77.21447182
34.261 s, 0.5700000000000001 , 6.2 , 7.69,0,0,28.57958104,77.21447182
34.292 s, 0.42 , 5.59 , 7.69,0,0,28.57958104,77.21447182
34.322 s, 0.46 , 5.74 , 7.66,0,0,28.57958104,77.21447182
34.353 s, 0.5 , 6.05 , 7.3100000000000005,0,0,28.57958104,77.21447182
34.384 s, 0.54 , 6.24 , 7.16,0,0,28.57958104,77.21447182
34.415 s, 0.42 , 5.97 , 8.540000000000001,0,0,28.57958104,77.21447182
34.445 s, 0.08 , 5.9 , 7.92,0,0,28.57958104,77.21447182
34.483000000000004 s, 0.23 , 5.97 , 6.97,0,0,28.57958104,77.21447182
34.514 s, 0.77 , 5.97 , 7.890000000000001,0,0,28.57958104,77.21447182
34.544000000000004 s, 0.65 , 5.44 , 8.08,0,0,28.57958104,77.21447182
34.575 s, 0.77 , 5.67 , 7.73,0,0,28.57958104,77.21447182
34.606 s, 1.3 , 6.24 , 7.62,0,0,28.57958104,77.21447182
34.636 s, 1.34 , 6.13 , 7.69,0,0,28.57958104,77.21447182
34.667 s, 1.07 , 5.7 , 7.62,0,0,28.57958104,77.21447182
34.697 s, 1.1500000000000001 , 5.93 , 7.69,0,0,28.57958104,77.21447182
34.728 s, 1.11 , 6.16 , 7.66,0,0,28.57958104,77.21447182
34.758 s, 1.0 , 5.78 , 7.390000000000001,0,0,28.57958104,77.21447182
34.789 s, 1.0 , 5.7 , 7.58,0,0,28.57958104,77.21447182
34.819 s, 1.03 , 5.78 , 7.62,0,0,28.57958104,77.21447182
34.85 s, 1.1500000000000001 , 5.67 , 7.43,0,0,28.57958104,77.21447182
34.88 s, 1.07 , 5.63 , 7.69,0,0,28.57958104,77.21447182
34.911 s, 1.03 , 5.63 , 7.54,0,0,28.57958104,77.21447182
34.944 s, 1.1500000000000001 , 5.78 , 7.62,0,0,28.57958104,77.21447182
34.975 s, 1.23 , 5.78 , 7.92,0,0,28.57958104,77.21447182
35.005 s, 1.23 , 5.67 , 7.96,0,0,28.57958104,77.21447182
35.036 s, 1.45 , 5.55 , 8.0,0,0,28.57958104,77.21447182
35.066 s, 1.61 , 5.55 , 8.040000000000001,0,0,28.57958104,77.21447182
35.097 s, 1.61 , 5.47 , 7.7700000000000005,0,0,28.57958104,77.21447182
35.127 s, 1.61 , 5.55 , 7.43,0,0,28.57958104,77.21447182
35.158 s, 1.8 , 5.59 , 7.2700000000000005,0,0,28.57958104,77.21447182
35.188 s, 1.8800000000000001 , 5.47 , 7.5,0,0,28.57958104,77.21447182
35.219 s, 1.8 , 5.05 , 7.54,0,0,28.57958104,77.21447182
35.25 s, 1.99 , 4.98 , 7.92,0,0,28.57958104,77.21447182
35.28 s, 1.99 , 4.98 , 8.31,0,0,28.57958104,77.21447182
35.311 s, 1.95 , 4.79 , 8.27,0,0,28.57958104,77.21447182
35.341 s, 2.07 , 4.67 , 8.65,0,0,28.57958104,77.21447182
35.372 s, 2.34 , 4.79 , 8.84,0,0,28.57958104,77.21447182
35.402 s, 2.41 , 4.82 , 8.58,0,0,28.57958104,77.21447182
35.433 s, 2.2600000000000002 , 4.71 , 8.38,0,0,28.57958104,77.21447182
35.464 s, 2.18 , 4.59 , 8.31,0,0,28.57958104,77.21447182
35.494 s, 2.22 , 4.44 , 8.35,0,0,28.57958104,77.21447182
35.525 s, 2.2600000000000002 , 4.25 , 8.61,0,0,28.57958104,77.21447182
35.555 s, 2.37 , 4.13 , 9.07,0,0,28.57958104,77.21447182
35.586 s, 2.68 , 4.0200000000000005 , 9.46,0,0,28.57958104,77.21447182
35.616 s, 2.83 , 3.87 , 9.46,0,0,28.57958104,77.21447182
35.647 s, 2.95 , 3.83 , 9.15,0,0,28.57958104,77.21447182
35.677 s, 2.99 , 3.83 , 8.58,0,0,28.57958104,77.21447182
35.708 s, 2.91 , 3.68 , 8.27,0,0,28.57958104,77.21447182
35.738 s, 2.99 , 3.68 , 8.19,0,0,28.57958104,77.21447182
35.769 s, 3.18 , 3.79 , 8.040000000000001,0,0,28.57958104,77.21447182
35.799 s, 3.37 , 3.87 , 8.040000000000001,0,0,28.57958104,77.21447182
35.83 s, 3.52 , 3.87 , 8.31,0,0,28.57958104,77.21447182
35.86 s, 3.56 , 3.9 , 8.46,0,0,28.57958104,77.21447182
35.891 s, 3.6 , 3.94 , 8.46,0,0,28.57958104,77.21447182
35.921 s, 3.68 , 4.0200000000000005 , 8.38,0,0,28.57958104,77.21447182
35.952 s, 3.6 , 3.9 , 8.35,0,0,28.57958104,77.21447182
35.983000000000004 s, 3.45 , 3.87 , 8.38,0,0,28.57958104,77.21447182
36.014 s, 3.33 , 3.64 , 8.42,0,0,28.57958104,77.21447182
36.045 s, 3.41 , 3.68 , 8.19,0,0,28.57958104,77.21447182
36.075 s, 3.52 , 3.64 , 8.42,0,0,28.57958104,77.21447182
36.106 s, 3.56 , 3.41 , 8.5,0,0,28.57958104,77.21447182
36.137 s, 3.75 , 3.48 , 8.5,0,0,28.57958104,77.21447182
36.167 s, 3.83 , 3.56 , 8.38,0,0,28.57958104,77.21447182
36.198 s, 3.83 , 3.48 , 8.31,0,0,28.57958104,77.21447182
36.228 s, 3.9 , 3.56 , 8.19,0,0,28.57958104,77.21447182
36.259 s, 3.9 , 3.68 , 8.120000000000001,0,0,28.57958104,77.21447182
36.29 s, 3.87 , 3.68 , 8.15,0,0,28.57958104,77.21447182
36.32 s, 3.98 , 3.75 , 8.38,0,0,28.57958104,77.21447182
36.351 s, 4.0200000000000005 , 3.6 , 8.65,0,0,28.57958104,77.21447182
36.381 s, 3.9 , 3.41 , 8.92,0,0,28.57958104,77.21447182
36.412 s, 3.83 , 3.41 , 8.61,0,0,28.57958104,77.21447182
36.443 s, 3.68 , 3.48 , 8.35,0,0,28.57958104,77.21447182
36.473 s, 3.56 , 3.45 , 8.19,0,0,28.57958104,77.21447182
36.504 s, 3.71 , 3.6 , 8.120000000000001,0,0,28.57958104,77.21447182
36.534 s, 3.98 , 3.94 , 8.46,0,0,28.57958104,77.21447182
36.565 s, 3.87 , 3.68 , 8.84,0,0,28.57958104,77.21447182
36.596000000000004 s, 3.98 , 3.56 , 8.96,0,0,28.57958104,77.21447182
36.626 s, 3.98 , 3.64 , 8.8,0,0,28.57958104,77.21447182
36.657000000000004 s, 3.83 , 3.52 , 8.31,0,0,28.57958104,77.21447182
36.688 s, 3.94 , 3.64 , 8.120000000000001,0,0,28.57958104,77.21447182
36.719 s, 4.1 , 3.9 , 8.19,0,0,28.57958104,77.21447182
36.75 s, 4.0200000000000005 , 3.9 , 8.0,0,0,28.57958104,77.21447182
36.781 s, 3.87 , 4.1 , 8.42,0,0,28.57958104,77.21447182
36.812 s, 3.79 , 4.13 , 9.0,0,0,28.57958104,77.21447182
36.842 s, 3.48 , 4.17 , 8.35,0,0,28.57958104,77.21447182
36.873 s, 3.06 , 4.71 , 8.8,0,0,28.57958104,77.21447182
36.904 s, 2.14 , 4.63 , 8.77,0,0,28.57958104,77.21447182
36.934 s, 2.14 , 4.1 , 7.5,0,0,28.57958104,77.21447182
36.965 s, 2.64 , 4.48 , 8.61,0,0,28.57958104,77.21447182
36.995 s, 1.68 , 4.0600000000000005 , 9.0,0,0,28.57958104,77.21447182
37.026 s, 0.84 , 3.29 , 8.35,0,0,28.57958104,77.21447182
37.061 s, 0.38 , 3.75 , 7.8500000000000005,0,0,28.57958104,77.21447182
37.091 s, 0.15 , 3.52 , 8.96,0,0,28.57958104,77.21447182
37.122 s, 0.8 , 3.79 , 9.76,0,0,28.57958104,77.21447182
37.153 s, 0.88 , 4.79 , 7.890000000000001,0,0,28.57958104,77.21447182
37.183 s, 0.88 , 4.63 , 7.8500000000000005,0,0,28.57958104,77.21447182
37.214 s, 1.99 , 4.13 , 10.07,0,0,28.57958104,77.21447182
37.244 s, 3.25 , 4.33 , 9.76,0,0,28.57958104,77.21447182
37.275 s, 3.83 , 5.55 , 9.0,0,0,28.57958104,77.21447182
37.305 s, 4.0200000000000005 , 5.32 , 9.07,0,0,28.57958104,77.21447182
37.336 s, 3.79 , 4.79 , 8.42,0,0,28.57958104,77.21447182
37.367 s, 4.44 , 4.5200000000000005 , 8.31,0,0,28.57958104,77.21447182
37.398 s, 5.44 , 4.25 , 8.08,0,0,28.57958104,77.21447182
37.428 s, 6.47 , 4.36 , 6.24,0,0,28.57958104,77.21447182
37.459 s, 7.3500000000000005 , 4.29 , 5.17,0,0,28.57958104,77.21447182
37.49 s, 8.27 , 4.0600000000000005 , 4.86,0,0,28.57958104,77.21447182
37.521 s, 9.61 , 3.45 , 4.71,0,0,28.57958104,77.21447182
37.551 s, 10.26 , 3.48 , 3.87,0,0,28.57958104,77.21447182
37.582 s, 10.11 , 2.83 , 4.17,0,0,28.57958104,77.21447182
37.612 s, 9.3 , 0.8 , 4.1,0,0,28.57958104,77.21447182
37.643 s, 7.92 , -1.11 , 4.25,0,0,28.57958104,77.21447182
37.674 s, 5.97 , -2.5300000000000002 , 3.37,0,0,28.57958104,77.21447182
37.704 s, 4.67 , -3.33 , 3.22,0,0,28.57958104,77.21447182
37.735 s, 4.79 , -1.99 , 3.71,0,0,28.57958104,77.21447182
37.765 s, 4.5600000000000005 , 0.11 , 3.71,0,0,28.57958104,77.21447182
37.796 s, 4.21 , 1.23 , 4.94,0,0,28.57958104,77.21447182
37.827 s, 4.33 , 3.56 , 4.29,0,0,28.57958104,77.21447182
37.857 s, 4.63 , 4.63 , 6.93,0,0,28.57958104,77.21447182
37.888 s, 7.2 , 7.73 , 10.41,0,0,28.57958104,77.21447182
37.918 s, 9.34 , 13.63 , 12.67,0,0,28.57958104,77.21447182
37.949 s, 7.5 , 12.98 , 14.97,0,0,28.57958104,77.21447182
37.985 s, 5.97 , 12.44 , 12.1,0,0,28.57958104,77.21447182
38.015 s, 5.24 , 11.41 , 9.3,0,0,28.57958104,77.21447182
38.046 s, 5.13 , 9.49 , 5.59,0,0,28.57958104,77.21447182
38.077 s, 6.24 , 8.88 , 5.9,0,0,28.57958104,77.21447182
38.108000000000004 s, 6.32 , 7.66 , 5.4,0,0,28.57958104,77.21447182
38.138 s, 4.48 , 5.36 , 6.43,0,0,28.57958104,77.21447182
38.169000000000004 s, 2.79 , 3.48 , 5.86,0,0,28.57958104,77.21447182
38.2 s, 2.5300000000000002 , 3.18 , 6.16,0,0,28.57958104,77.21447182
38.231 s, 1.9100000000000001 , 3.68 , 6.78,0,0,28.57958104,77.21447182
38.261 s, 3.06 , 4.44 , 7.92,0,0,28.57958104,77.21447182
38.292 s, 5.47 , 6.66 , 7.12,0,0,28.57958104,77.21447182
38.323 s, 6.390000000000001 , 7.62 , 6.58,0,0,28.57958104,77.21447182
38.353 s, 4.67 , 6.51 , 7.8500000000000005,0,0,28.57958104,77.21447182
38.384 s, 3.94 , 5.32 , 9.11,0,0,28.57958104,77.21447182
38.414 s, 3.98 , 4.33 , 8.77,0,0,28.57958104,77.21447182
38.445 s, 4.21 , 3.87 , 8.08,0,0,28.57958104,77.21447182
38.476 s, 4.13 , 3.25 , 8.58,0,0,28.57958104,77.21447182
38.506 s, 3.52 , 2.41 , 9.26,0,0,28.57958104,77.21447182
38.537 s, 3.68 , 2.18 , 8.84,0,0,28.57958104,77.21447182
38.567 s, 3.83 , 2.3000000000000003 , 8.19,0,0,28.57958104,77.21447182
38.598 s, 3.02 , 1.95 , 8.0,0,0,28.57958104,77.21447182
38.629 s, 2.99 , 1.49 , 8.42,0,0,28.57958104,77.21447182
38.659 s, 3.79 , 2.0300000000000002 , 8.08,0,0,28.57958104,77.21447182
38.69 s, 3.83 , 2.64 , 8.120000000000001,0,0,28.57958104,77.21447182
38.72 s, 3.02 , 1.95 , 8.84,0,0,28.57958104,77.21447182
38.751 s, 3.6 , 1.6500000000000001 , 9.42,0,0,28.57958104,77.21447182
38.782000000000004 s, 4.0200000000000005 , 2.11 , 8.77,0,0,28.57958104,77.21447182
38.813 s, 4.13 , 2.49 , 8.540000000000001,0,0,28.57958104,77.21447182
38.844 s, 3.98 , 2.99 , 9.11,0,0,28.57958104,77.21447182
38.874 s, 3.48 , 2.83 , 9.03,0,0,28.57958104,77.21447182
38.905 s, 3.41 , 2.41 , 8.120000000000001,0,0,28.57958104,77.21447182
38.936 s, 4.21 , 3.25 , 8.19,0,0,28.57958104,77.21447182
38.977000000000004 s, 3.87 , 3.25 , 8.77,0,0,28.57958104,77.21447182
39.008 s, 3.18 , 2.87 , 9.34,0,0,28.57958104,77.21447182
39.038000000000004 s, 3.48 , 3.52 , 9.49,0,0,28.57958104,77.21447182
39.069 s, 3.79 , 4.5600000000000005 , 9.03,0,0,28.57958104,77.21447182
39.099000000000004 s, 3.29 , 4.48 , 8.65,0,0,28.57958104,77.21447182
39.13 s, 2.6 , 4.0200000000000005 , 8.46,0,0,28.57958104,77.21447182
39.161 s, 1.95 , 3.56 , 8.42,0,0,28.57958104,77.21447182
39.191 s, 2.07 , 3.64 , 8.61,0,0,28.57958104,77.21447182
39.222 s, 1.23 , 3.94 , 8.96,0,0,28.57958104,77.21447182
39.253 s, 0.38 , 3.64 , 9.49,0,0,28.57958104,77.21447182
39.283 s, 0.31 , 3.56 , 10.07,0,0,28.57958104,77.21447182
39.314 s, 0.04 , 3.75 , 10.03,0,0,28.57958104,77.21447182
39.344 s, -0.27 , 2.2600000000000002 , 8.120000000000001,0,0,28.57958104,77.21447182
39.375 s, -0.46 , 0.8 , 7.54,0,0,28.57958104,77.21447182
39.406 s, -0.23 , 0.15 , 8.31,0,0,28.57958104,77.21447182
39.436 s, 0.5 , 0.23 , 9.42,0,0,28.57958104,77.21447182
39.467 s, 1.0 , -0.19 , 9.76,0,0,28.57958104,77.21447182
39.498 s, 1.34 , -0.61 , 9.69,0,0,28.57958104,77.21447182
39.528 s, 1.6500000000000001 , -0.61 , 9.69,0,0,28.57958104,77.21447182
39.559 s, 1.19 , -1.1500000000000001 , 9.42,0,0,28.57958104,77.21447182
39.59 s, 1.57 , -2.0300000000000002 , 10.370000000000001,0,0,28.57958104,77.21447182
39.621 s, 2.34 , -2.49 , 11.370000000000001,0,0,28.57958104,77.21447182
39.651 s, 0.6900000000000001 , -2.07 , 9.61,0,0,28.57958104,77.21447182
39.682 s, -0.27 , -0.23 , 7.58,0,0,28.57958104,77.21447182
39.713 s, -0.61 , -1.3 , 7.890000000000001,0,0,28.57958104,77.21447182
39.743 s, -0.84 , -1.03 , 9.38,0,0,28.57958104,77.21447182
39.774 s, 0.15 , 0.23 , 10.53,0,0,28.57958104,77.21447182
39.805 s, -0.65 , -0.61 , 9.42,0,0,28.57958104,77.21447182
39.835 s, -0.77 , -1.19 , 9.88,0,0,28.57958104,77.21447182
39.866 s, 0.08 , -1.22 , 9.91,0,0,28.57958104,77.21447182
39.896 s, 1.23 , -0.92 , 9.76,0,0,28.57958104,77.21447182
39.927 s, 3.33 , -1.34 , 12.33,0,0,28.57958104,77.21447182
39.958 s, 1.84 , 0.27 , 8.120000000000001,0,0,28.57958104,77.21447182
39.988 s, 0.19 , -1.3 , 8.46,0,0,28.57958104,77.21447182
40.019 s, 1.23 , -0.8 , 8.69,0,0,28.57958104,77.21447182
