time,x-axis,y-axis,z-axis,Event1,Event2, ,
55.120000000000005 s,-1.07,1.99,9.19,0,0,28.64549966,77.31796781

55.137 s,-1.23,1.99,9.04,0,0,28.64549966,77.31796781

55.158 s,-1.23,1.99,9.04,0,0,28.64549966,77.31796781

55.176 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

55.195 s,-1.23,1.84,9.04,0,0,28.64549966,77.31796781

55.214 s,-1.23,1.84,9.04,0,0,28.64549966,77.31796781

55.239000000000004 s,-1.23,1.84,9.19,0,0,28.64549966,77.31796781

55.263 s,-1.23,1.84,9.19,0,0,28.64549966,77.31796781

55.294000000000004 s,-1.23,1.99,9.19,0,0,28.64549966,77.31796781

