time,x-axis,y-axis,z-axis,Event1,Event2, ,

49.014 s,-1.69,3.68,8.43,0,0,28.64552929,77.31799159

49.034 s,-1.99,3.52,8.73,0,0,28.64552929,77.31799159

49.054 s,-1.99,3.52,8.73,0,0,28.64552929,77.31799159

49.074 s,-2.3,3.68,9.35,0,0,28.64552929,77.31799159

49.094 s,-2.3,3.68,9.35,0,0,28.64552929,77.31799159

49.119 s,-1.53,3.37,9.65,0,0,28.64552929,77.31799159

49.137 s,-1.38,2.76,8.89,0,0,28.64552929,77.31799159

49.159 s,-1.38,2.76,8.89,0,0,28.64552929,77.31799159

49.179 s,-2.15,1.99,7.97,0,0,28.64552929,77.31799159

49.198 s,-3.68,1.84,8.12,0,0,28.64552929,77.31799159

49.215 s,-3.68,1.84,8.12,0,0,28.64552929,77.31799159

49.237 s,-2.6,1.53,9.35,0,0,28.64552929,77.31799159

49.264 s,-2.6,1.53,9.35,0,0,28.64552929,77.31799159

49.294000000000004 s,-3.06,2.3,8.43,0,0,28.64552929,77.31799159

49.315 s,-3.06,2.3,8.43,0,0,28.64552929,77.31799159

49.334 s,-2.91,2.15,8.58,0,0,28.64552929,77.31799159

49.354 s,-2.76,1.99,8.89,0,0,28.64552929,77.31799159

49.374 s,-2.76,1.99,8.89,0,0,28.64552929,77.31799159

49.394 s,-3.06,1.99,8.73,0,0,28.64552929,77.31799159

49.414 s,-3.06,1.99,8.73,0,0,28.64552929,77.31799159

49.434 s,-2.91,2.15,8.73,0,0,28.64552929,77.31799159

49.455 s,-3.22,2.15,8.58,0,0,28.64552929,77.31799159

49.474000000000004 s,-3.22,2.15,8.58,0,0,28.64552929,77.31799159

49.494 s,-3.22,1.99,8.58,0,0,28.64552929,77.31799159

49.52 s,-3.22,1.99,8.73,0,0,28.64552929,77.31799159

49.539 s,-3.22,1.99,8.73,0,0,28.64552929,77.31799159

49.559 s,-3.83,2.15,9.19,0,0,28.64552929,77.31799159

49.579 s,-3.83,2.15,9.19,0,0,28.64552929,77.31799159

49.594 s,-3.68,1.84,9.35,0,0,28.64552929,77.31799159

49.614000000000004 s,-2.6,1.38,9.35,0,0,28.64552929,77.31799159

49.634 s,-2.6,1.38,9.35,0,0,28.64552929,77.31799159

49.654 s,-2.15,0.61,8.89,0,0,28.64552929,77.31799159

49.674 s,-2.15,0.61,8.89,0,0,28.64552929,77.31799159

49.694 s,-1.69,0.61,8.58,0,0,28.64552929,77.31799159

49.714 s,-1.84,0.61,9.5,0,0,28.64552929,77.31799159

49.734 s,-1.84,0.61,9.5,0,0,28.64552929,77.31799159

49.754 s,-2.15,0.15,9.35,0,0,28.64552929,77.31799159

49.774 s,-1.23,-0.46,9.5,0,0,28.64552929,77.31799159

49.794000000000004 s,-1.23,-0.46,9.5,0,0,28.64552929,77.31799159

49.814 s,-1.07,0.15,9.65,0,0,28.64552929,77.31799159

49.834 s,-1.07,0.15,9.65,0,0,28.64552929,77.31799159

49.854 s,-1.38,0.46,9.35,0,0,28.64552929,77.31799159

49.874 s,-1.38,0.31,9.35,0,0,28.64552929,77.31799159

49.894 s,-1.38,0.31,9.35,0,0,28.64552929,77.31799159

49.914 s,-1.07,0.46,9.65,0,0,28.64552929,77.31799159

49.934 s,-1.07,0.46,9.19,0,0,28.64552929,77.31799159

49.954 s,-1.23,0.61,9.19,0,0,28.64552929,77.31799159

49.974000000000004 s,-1.07,0.92,9.35,0,0,28.64552929,77.31799159

49.994 s,-1.07,0.92,9.35,0,0,28.64552929,77.31799159

50.014 s,-1.07,0.77,9.19,0,0,28.64552929,77.31799159

50.034 s,-1.07,0.77,9.35,0,0,28.64552929,77.31799159

50.054 s,-1.07,0.77,9.35,0,0,28.64552929,77.31799159

50.074 s,-1.07,0.77,9.35,0,0,28.64552929,77.31799159

50.094 s,-1.07,0.77,9.35,0,0,28.64552929,77.31799159

50.121 s,-1.07,1.07,9.65,0,0,28.64552929,77.31799159

50.137 s,-1.07,1.38,9.5,0,0,28.64552929,77.31799159

50.156 s,-1.07,1.38,9.5,0,0,28.64552929,77.31799159

50.184 s,-1.07,1.53,9.04,0,0,28.64552929,77.31799159

50.231 s,-1.07,1.99,9.04,0,0,28.64552929,77.31799159

50.261 s,-1.07,1.99,9.04,0,0,28.64552929,77.31799159

50.278 s,-1.07,1.84,8.89,0,0,28.64552929,77.31799159

50.305 s,-1.07,1.84,8.89,0,0,28.64552929,77.31799159

50.322 s,-1.07,1.69,9.04,0,0,28.64552929,77.31799159

50.354 s,-1.07,1.53,9.19,0,0,28.64552929,77.31799159

50.374 s,-1.07,1.53,9.19,0,0,28.64552929,77.31799159

50.394 s,-1.07,1.53,9.19,0,0,28.64552929,77.31799159

50.414 s,-1.07,1.53,9.19,0,0,28.64552929,77.31799159

50.434 s,-1.23,1.69,9.35,0,0,28.64552929,77.31799159

50.454 s,-1.23,1.53,9.19,0,0,28.64552929,77.31799159

50.474000000000004 s,-1.23,1.53,9.19,0,0,28.64552929,77.31799159

50.494 s,-1.23,1.53,9.35,0,0,28.64552929,77.31799159

50.514 s,-1.23,1.53,9.35,0,0,28.64552929,77.31799159

50.534 s,-1.23,1.53,9.19,0,0,28.64552929,77.31799159

50.554 s,-1.38,1.53,9.19,0,0,28.64552929,77.31799159

50.574 s,-1.38,1.53,9.19,0,0,28.64552929,77.31799159

50.594 s,-1.23,1.53,9.19,0,0,28.64552929,77.31799159

50.614000000000004 s,-1.23,1.53,9.19,0,0,28.64552929,77.31799159

50.634 s,-1.23,1.53,9.19,0,0,28.64552929,77.31799159

50.654 s,-1.23,1.53,8.89,0,0,28.64552929,77.31799159

50.674 s,-1.23,1.53,8.89,0,0,28.64552929,77.31799159

50.694 s,-1.07,1.53,9.5,0,0,28.64552929,77.31799159

50.714 s,-1.07,1.69,9.35,0,0,28.64552929,77.31799159

50.734 s,-1.07,1.69,9.35,0,0,28.64552929,77.31799159

50.754 s,-1.07,1.69,9.04,0,0,28.64552929,77.31799159

50.774 s,-0.92,1.69,9.35,0,0,28.64552929,77.31799159

50.794000000000004 s,-0.92,1.69,9.35,0,0,28.64552929,77.31799159

50.814 s,-1.07,1.69,9.35,0,0,28.64552929,77.31799159

50.834 s,-1.07,1.69,9.35,0,0,28.64552929,77.31799159

50.854 s,-1.07,1.69,9.35,0,0,28.64552929,77.31799159

50.874 s,-1.07,1.53,9.35,0,0,28.64552929,77.31799159

50.904 s,-1.07,1.53,9.35,0,0,28.64552929,77.31799159

50.942 s,-1.07,1.53,9.19,0,0,28.64552929,77.31799159

