time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata

47.844,0.31,3.22,10.11,0,0,unable to access data

47.903,0.31,3.06,8.89,0,0,unable to access data

47.963,-0.15,3.22,9.65,0,0,unable to access data

48.023,0.31,2.91,9.04,0,0,unable to access data

48.083,0.31,3.22,9.5,0,0,unable to access data

48.143,0.15,3.06,9.19,0,0,unable to access data

48.204,0.15,2.91,9.5,0,0,unable to access data

48.264,0.15,3.22,9.35,0,0,unable to access data

48.323,0.15,2.91,9.19,0,0,unable to access data

48.383,0.31,2.76,9.35,0,0,unable to access data

48.443,0.31,2.91,9.65,0,0,unable to access data

48.503,0.31,2.6,9.19,0,0,unable to access data

48.563,0.31,2.91,9.65,0,0,unable to access data

48.623,0.15,3.06,9.35,0,0,unable to access data

48.683,0.15,3.06,9.35,0,0,unable to access data

48.743,0.15,2.91,9.5,0,0,unable to access data

48.803,0.15,3.06,9.5,0,0,unable to access data

48.863,0.15,3.06,9.19,0,0,unable to access data

48.923,0.15,3.06,9.35,0,0,unable to access data

48.983,0.15,2.91,9.35,0,0,unable to access data

49.043,0.15,3.06,9.35,0,0,unable to access data

49.103,0.15,2.91,9.19,0,0,unable to access data

49.163,0.15,2.91,9.5,0,0,unable to access data

49.223,0.31,2.91,9.35,0,0,unable to access data

49.283,0.15,2.91,9.35,0,0,unable to access data

49.346,0.15,2.91,9.04,0,0,unable to access data

49.405,0.15,2.91,9.5,0,0,unable to access data

49.464,0.15,2.91,9.04,0,0,unable to access data

49.524,0.15,2.76,9.19,0,0,unable to access data

49.583,0.31,2.91,9.19,0,0,unable to access data

49.643,-0.15,2.91,9.65,0,0,unable to access data

49.703,0.15,3.06,9.19,0,0,unable to access data

49.763,0.15,2.91,9.35,0,0,unable to access data

49.823,0.31,2.91,9.19,0,0,unable to access data

49.883,-0.15,2.91,9.35,0,0,unable to access data

49.943,0.31,3.22,9.5,0,0,unable to access data

50.003,0.31,2.91,9.19,0,0,unable to access data

50.063,0.15,2.91,9.19,0,0,unable to access data

50.123,0.15,2.91,9.5,0,0,unable to access data

50.183,0.31,3.06,9.19,0,0,unable to access data

50.243,0.15,3.06,9.5,0,0,unable to access data

50.303,0.15,3.06,9.35,0,0,unable to access data

50.363,0.15,2.91,9.35,0,0,unable to access data

50.439,0.15,2.91,9.35,0,0,unable to access data

50.497,0.15,3.06,9.5,0,0,unable to access data

50.543,0.15,3.06,9.19,0,0,unable to access data

50.603,-0.15,3.06,9.35,0,0,unable to access data

50.666,-0.46,1.99,9.5,0,0,unable to access data

50.723,-0.46,3.98,9.19,0,0,unable to access data

50.783,-0.15,2.76,9.65,0,0,unable to access data

50.843,-0.31,3.22,8.27,0,0,unable to access data

50.904,0.31,2.76,8.89,0,0,unable to access data

50.963,0.31,2.91,8.27,0,0,unable to access data

51.023,0.31,2.76,8.43,0,0,unable to access data

51.083,-0.31,2.91,8.27,0,0,unable to access data

51.143,0.15,2.91,8.58,0,0,unable to access data

51.203,0.15,2.6,9.5,0,0,unable to access data

51.263,-0.61,3.06,8.58,0,0,unable to access data

51.323,0.61,2.76,9.65,0,0,unable to access data

51.383,-0.15,2.6,9.96,0,0,unable to access data

51.444,0.15,2.91,9.81,0,0,unable to access data

51.503,-0.15,2.6,10.11,0,0,unable to access data

51.565,0.15,3.06,10.57,0,0,unable to access data

51.623,-1.69,2.45,9.5,0,0,unable to access data

51.683,0.15,3.83,9.35,0,0,unable to access data

51.743,0.31,2.15,9.5,0,0,unable to access data

51.803,-0.31,2.76,9.5,0,0,unable to access data

51.863,0.15,2.45,9.5,0,0,unable to access data

51.923,-0.15,2.6,9.35,0,0,unable to access data

51.983,-0.15,2.3,9.5,0,0,unable to access data

52.043,0.31,2.15,9.81,0,0,unable to access data

52.103,-0.31,2.3,9.65,0,0,unable to access data

52.163,-0.15,2.15,9.65,0,0,unable to access data

52.223,-0.15,2.15,9.5,0,0,unable to access data

52.283,-0.15,2.3,9.35,0,0,unable to access data

52.343,-0.15,2.15,9.5,0,0,unable to access data

52.403,-0.15,2.15,9.5,0,0,unable to access data

52.463,-0.31,2.76,9.81,0,0,unable to access data

52.523,-1.07,3.37,9.81,0,0,unable to access data

52.583,-1.69,4.14,10.27,0,0,unable to access data

52.643,-0.61,3.83,9.96,0,0,unable to access data

52.703,0.77,4.6,10.11,0,0,unable to access data

52.763,0.92,3.83,7.51,0,0,unable to access data

52.823,3.98,1.53,8.58,0,0,unable to access data

52.883,2.6,2.3,7.81,0,0,unable to access data

52.943,3.06,2.6,8.89,0,0,unable to access data

53.003,3.52,1.84,11.49,0,0,unable to access data

53.063,0.92,3.83,6.28,0,0,unable to access data

53.123,0.61,4.6,7.81,0,0,unable to access data

53.183,0.92,4.9,9.19,0,0,unable to access data

53.243,0.61,5.21,9.19,0,0,unable to access data

53.303,0.77,4.75,8.43,0,0,unable to access data

53.363,0.61,4.6,8.73,0,0,unable to access data

53.423,1.23,4.44,8.89,0,0,unable to access data

53.483,1.07,4.14,8.43,0,0,unable to access data

53.543,1.38,4.44,8.43,0,0,unable to access data

53.603,1.84,4.14,9.04,0,0,unable to access data

53.663,1.53,4.44,8.43,0,0,unable to access data

53.723,1.53,4.44,8.58,0,0,unable to access data

53.783,1.23,4.75,8.43,0,0,unable to access data

