time,x-axis,y-axis,z-axis,Event1,Event2

24.363,0.61,5.82,6.44,0,0

24.438,0.46,5.36,6.59,0,0

24.507,0.46,5.21,7.05,0,0

24.567,0.46,5.98,7.81,0,0

24.627,0.46,5.98,7.97,0,0

24.687,0.31,6.9,7.81,0,0

24.747,0.15,6.74,8.27,0,0

24.808,-0.31,5.98,7.51,0,0

24.877,-0.61,5.82,7.51,0,0

24.937,0.15,4.9,7.66,0,0

24.997,-0.15,5.36,7.2,0,0

25.057,0.92,5.36,7.2,0,0

25.118,1.07,5.36,7.35,0,0

25.178,0.92,5.82,7.2,0,0

25.239,0.92,5.82,7.35,0,0

25.307,0.61,6.13,7.05,0,0

25.367,0.61,5.52,7.35,0,0

25.427,0.46,5.21,6.9,0,0

25.487,0.15,4.9,6.59,0,0

25.553,-0.31,5.36,7.2,0,0

25.617,-0.31,5.82,7.2,0,0

25.677,-0.15,5.36,8.58,0,0

25.738,0.61,5.36,7.81,0,0

25.797,0.92,5.21,7.66,0,0

25.857,1.23,5.21,7.35,0,0

25.917,0.92,5.06,7.2,0,0

25.977,0.46,5.36,7.51,0,0

26.037,-0.31,6.28,8.12,0,0

26.099,0.15,5.36,9.04,0,0

26.167,0.31,4.6,7.35,0,0

26.229,0.31,4.44,6.59,0,0

26.297,0.46,4.9,6.74,0,0

26.357,0.61,5.52,7.66,0,0

26.417,0.46,5.82,7.97,0,0

26.477,0.31,5.67,8.12,0,0

26.537,0.15,5.06,7.35,0,0

26.597,0.15,4.9,6.28,0,0

26.658,-0.15,5.06,6.44,0,0

26.718,0.15,4.75,6.74,0,0

26.777,0.31,4.29,6.74,0,0

26.837,0.31,4.75,6.59,0,0

26.897,-0.61,5.82,7.81,0,0

26.957,-0.77,7.81,10.73,0,0

27.017,-0.31,7.35,10.11,0,0

27.077,-0.31,6.74,9.96,0,0

27.137,-0.46,4.75,8.27,0,0

27.197,-0.15,3.52,7.2,0,0

27.257,0.46,3.83,6.74,0,0

27.317,0.46,4.44,6.59,0,0

27.377,0.15,4.75,7.2,0,0

27.437,0.15,4.6,7.97,0,0

27.498,-0.46,5.06,7.35,0,0

27.571,-1.07,5.52,7.81,0,0

27.636,-1.38,6.13,8.27,0,0

27.697,-0.92,5.82,8.89,0,0

27.757,-0.77,5.36,8.58,0,0

27.825,-0.46,5.06,8.12,0,0

27.887,-0.15,4.75,7.2,0,0

27.947,-0.15,4.29,6.9,0,0

28.007,-0.46,5.06,6.44,0,0

28.067,-0.31,5.21,6.9,0,0

28.127,-0.15,4.75,7.35,0,0

28.194,-0.46,4.44,7.35,0,0

28.257,-0.77,5.67,7.81,0,0

28.325,-0.77,6.13,8.89,0,0

28.387,-0.15,4.6,9.04,0,0

28.447,0.61,3.83,8.43,0,0

28.515,-0.15,4.14,7.2,0,0

28.583,-0.61,4.6,7.05,0,0

28.647,-1.53,5.06,7.51,0,0

28.707,-2.15,4.14,8.43,0,0

28.767,-1.07,3.22,7.35,0,0

28.827,-1.07,1.38,8.43,0,0

28.887,-5.21,1.99,7.81,0,0

28.947,-1.38,0.15,9.81,0,0

